"mrate","mse","dataset","method","mtype","lags","nof_filters","inter_method","epoch","calculation_time","model"
0,1.2346976062327,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.1,1.24432304840546,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.2,1.24356466933129,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.3,1.25947941928276,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.4,1.26232681130315,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.5,1.24955539239048,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.6,1.24525075587038,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.7,1.27670006928104,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0.8,1.27670006928104,"FiveVTS","GNAR","rand",2,NA,NA,NA,NA,"GNAR"
0,1.8126937035291,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.1,1.81234403350305,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.2,1.81202105811002,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.3,1.81058881629369,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.4,1.81062353723024,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.5,1.80981001899167,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.6,1.81275091486494,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.7,1.81650250763033,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.8,17707237.2919715,"Chickenpox","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0,0.0481488821575299,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.1,0.056574436988251,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.2,0.0436648790522573,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.3,0.049532731016696,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.4,0.0353560153681143,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.5,0.193313558597,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.6,0.455423941741713,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.7,0.0325865716928637,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0.8,0.0515397552565876,"Pedalme","GNAR","rand",4,NA,NA,NA,NA,"GNAR"
0,0.732017426422898,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.1,0.732440118144538,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.2,0.73213621209813,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.3,0.722989396227973,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.4,0.729366736333734,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.5,0.720826878060958,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.6,0.715069593495276,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.7,0.707867075372534,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.8,0.75082455373069,"Wikimath","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.8,1.32151590524722,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.7,1.32151590524722,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.6,1.3228440957501,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.5,0.985560828105146,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.4,1.32162438473451,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.3,1.32250451936432,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.2,1.32191003672053,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.1,1.32197936821658,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0,1.32194997386805,"Windmillsmall","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0,1.32194997386805,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.1,1.32190430107264,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.2,1.32202379592931,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.3,1.32227962742325,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.4,1.32215877233056,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.5,1.32467875549155,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.6,1.32205405232167,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.7,1.3225045885027,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.8,1.32499950351095,"MontevideoBus","GNAR","rand",8,NA,NA,NA,NA,"GNAR"
0.125,1.25466525885216,"FiveVTS","GNAR","block",2,NA,NA,NA,NA,"GNAR"
0.288461538461538,1.81270606222003,"Chickenpox","GNAR","block",4,NA,NA,NA,NA,"GNAR"
0.294117647058824,0.031616680942763,"Pedalme","GNAR","block",4,NA,NA,NA,NA,"GNAR"
0.120247806680006,0.730461994790495,"Wikimath","GNAR","block",8,NA,NA,NA,NA,"GNAR"
0.0325214251148657,0.98558420589441,"Windmillsmall","GNAR","block",8,NA,NA,NA,NA,"GNAR"
0.149543891132047,1.32200399688471,"MontevideoBus","GNAR","block",8,NA,NA,NA,NA,"GNAR"
