날짜,발전량(kWh),,
2020-10-01,"26,804 ",,
2020-10-02,"2,531 ",,
2020-10-03,"2,068 ",,
2020-10-04,"144,540 ",,
2020-10-05,"583,602 ",,
2020-10-06,"230,078 ",,
2020-10-07,"415,607 ",,
2020-10-08,"779,256 ",,
2020-10-09,"565,630 ",,
2020-10-10,"47,366 ",,
2020-10-11,"62,504 ",,
2020-10-12,"273,574 ",,
2020-10-13,"410,076 ",,
2020-10-14,"201,983 ",,
2020-10-15,"135,616 ",,
2020-10-16,"79,168 ",,
2020-10-17,"88,390 ",,
2020-10-18,"56,769 ",,
2020-10-19,"63,263 ",,
2020-10-20,"214,306 ",,
2020-10-21,"121,951 ",,
2020-10-22,"533,292 ",,
2020-10-23,"776,224 ",,
2020-10-24,"614,513 ",,
2020-10-25,"320,418 ",,
2020-10-26,"158,337 ",,
2020-10-27,"51,975 ",,
2020-10-28,"255,490 ",,
2020-10-29,"302,564 ",,
2020-10-30,"198,897 ",,
2020-10-31,"123,884 ",,
2020-11-01,"33,604 ",,
2020-11-02,"135,829 ",,
2020-11-03,"609,467 ",,
2020-11-04,"337,272 ",,
2020-11-05,"52,541 ",,
2020-11-06,"23,219 ",,
2020-11-07,"134,113 ",,
2020-11-08,"553,056 ",,
2020-11-09,"547,167 ",,
2020-11-10,"179,344 ",,
2020-11-11,"36,652 ",,
2020-11-12,"42,060 ",,
2020-11-13,"144,243 ",,
2020-11-14,"133,686 ",,
2020-11-15,"21,345 ",,
2020-11-16,"58,113 ",,
2020-11-17,"130,319 ",,
2020-11-18,"626,321 ",,
2020-11-19,"720,738 ",,
2020-11-20,"741,145 ",,
2020-11-21,"134,465 ",,
2020-11-22,"461,606 ",,
2020-11-23,"664,406 ",,
2020-11-24,"348,309 ",,
2020-11-25,"273,765 ",,
2020-11-26,"179,693 ",,
2020-11-27,"749,586 ",,
2020-11-28,"895,601 ",,
2020-11-29,"482,284 ",,
2020-11-30,"324,435 ",,
2020-12-01,"179,631 ",,
2020-12-02,"242,940 ",,
2020-12-03,"499,808 ",,
2020-12-04,"674,033 ",,
2020-12-05,"228,310 ",,
2020-12-06,"180,325 ",,
2020-12-07,"188,669 ",,
2020-12-08,"251,674 ",,
2020-12-09,"121,968 ",,
2020-12-10,"132,228 ",,
2020-12-11,"27,378 ",,
2020-12-12,"329,076 ",,
2020-12-13,"413,940 ",,
2020-12-14,"929,305 ",,
2020-12-15,"432,236 ",,
2020-12-16,"585,286 ",,
2020-12-17,"332,811 ",,
2020-12-18,"352,325 ",,
2020-12-19,"743,432 ",,
2020-12-20,"425,029 ",,
2020-12-21,"213,521 ",,
2020-12-22,"66,183 ",,
2020-12-23,"15,355 ",,
2020-12-24,"574,535 ",,
2020-12-25,"589,422 ",,
2020-12-26,"32,102 ",,
2020-12-27,"188,922 ",,
2020-12-28,"61,372 ",,
2020-12-29,"335,228 ",,
2020-12-30,"875,809 ",,
2020-12-31,"884,271 ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
