일자,가시,김녕,동복,신창,행원,전체
2021-01-01,13109.76,6799.32,175910.4,10992.6,79203.66,286015.74
2021-01-02,87864.48,9864.18,265305.6,16209.54,124062.84,503306.64
2021-01-03,131734.08,3543.12,75398.4,11988.36,68689.62,291353.58
2021-01-04,47298.24,768.06,7660.8,7392.78,12693.06,75812.94
2021-01-05,112050.72,8877.96,268675.2,17684.28,119605.26,526893.42
2021-01-06,38766.24,11191.68,364665.6,19271.7,148554.12,582449.34
2021-01-07,101518.56,5479.74,584611.2,21874.86,87545.22,801029.58
2021-01-08,113286.24,15325.2,609696,20052.72,150533.28,908893.44
2021-01-09,87603.84,9464.4,580550.4,14278.14,144821.34,836718.12
2021-01-10,27433.44,8285.22,262771.2,17525.16,104924.7,420939.72
2021-01-11,29501.28,1893.78,31852.8,6510.42,29292.48,99050.76
2021-01-12,66264.48,6004.44,185788.8,11875.86,83530.86,353464.44
2021-01-13,35140.32,4084.2,136656,14435.1,41322.9,231638.52
2021-01-14,27046.08,1637.46,76665.6,4323.42,22765.8,132438.36
2021-01-15,103727.52,4418.28,128160,14152.14,58382.58,308840.52
2021-01-16,195733.44,13560.48,539424,22408.56,195394.08,966520.56
2021-01-17,104522.4,4743.54,419961.6,19961.1,149718.78,698907.42
2021-01-18,64470.24,9841.86,401184,19102.32,90279.72,584878.14
2021-01-19,89952.48,4208.58,106214.4,14940.72,53571.36,268887.54
2021-01-20,2717.28,1279.08,54432,3483.18,10582.56,72494.1
2021-01-21,1298.88,1370.52,77299.2,6123.06,12400.98,98492.64
2021-01-22,31044.96,1280.52,17308.8,6315.12,19683.6,75633
2021-01-23,74746.08,13057.74,382608,11875.5,161442.06,643729.38
2021-01-24,90766.08,9815.94,257932.8,6940.62,133809.18,499264.62
2021-01-25,59549.76,12539.7,276451.2,7048.44,152467.92,508057.02
2021-01-26,141886.08,7804.8,194371.2,15627.42,103933.38,463622.88
2021-01-27,151528.32,3415.5,114883.2,13991.4,67447.92,351266.34
2021-01-28,65208.96,4569.84,410860.8,9036,48213.78,537889.38
2021-01-29,108381.6,6653.34,507772.8,17475.84,85021.8,725305.38
2021-01-30,13327.2,3970.62,124300.8,3217.14,46054.08,190869.84
2021-01-31,78880.32,2339.46,124329.6,11577.78,35641.56,252768.72
2021-02-01,62075.52,5218.02,110736,8861.58,76184.88,263076
2021-02-02,124446.24,13125.96,448012.8,22541.04,181752.12,789878.16
2021-02-03,32535.36,3948.66,146332.8,2197.26,50130.9,235144.98
2021-02-04,106894.08,5711.04,214790.4,6545.7,84354.66,418295.88
2021-02-05,23893.92,904.14,20102.4,4005.9,9754.2,58660.56
2021-02-06,18757.44,2911.5,90201.6,2466.9,46662.72,161000.16
2021-02-07,94626.72,4933.8,109180.8,7866,70446.84,287054.16
2021-02-08,137805.12,7896.78,429004.8,21710.16,176258.04,772674.9
2021-02-09,95019.84,99.36,106819.2,7400.16,79738.2,289076.76
2021-02-10,48273.12,425.52,14140.8,3325.68,23370.06,89535.18
2021-02-11,9790.56,577.08,6537.6,3348.54,10155.78,30409.56
2021-02-12,19441.44,231.12,777.6,3588.84,4077.12,28116.12
2021-02-13,10558.08,187.38,3225.6,1487.7,918.18,16376.94
2021-02-14,17049.6,361.8,15782.4,3078.72,5348.4,41620.92
2021-02-15,90770.4,13294.8,519580.8,20647.98,146119.14,790413.12
2021-02-16,74567.52,7885.62,434678.4,14852.52,113867.22,645851.28
2021-02-17,171469.44,6027.3,671932.8,7620.48,71939.22,928989.24
2021-02-18,147116.16,17.64,600480,14720.58,60119.58,822453.96
2021-02-19,63878.4,2339.1,166464,11161.26,86615.46,330458.22
2021-02-20,68251.68,10101.24,287424,13627.26,61759.02,441163.2
2021-02-21,111034.08,4352.94,153878.4,11979.9,14128.2,295373.52
2021-02-22,90048.96,7921.98,152409.6,13489.74,45794.04,309664.32
2021-02-23,140070.24,5801.04,132912,17794.98,47275.2,343853.46
2021-02-24,57612.96,1296,51033.6,7666.56,9169.92,126779.04
2021-02-25,61253.28,5260.5,274694.4,6995.52,57469.44,405673.14
2021-02-26,219372.48,2303.64,627984,6885.9,48054.12,904600.14
2021-02-27,214256.16,18.18,588096,10224.54,38284.8,850879.68
2021-02-28,32564.16,37.26,231292.8,7057.08,39356.16,310307.46
2021-03-01,183323.52,0.18,350640,17432.82,18374.4,569770.92
2021-03-02,144783.36,116.82,429465.6,20138.22,13021.44,607525.44
2021-03-03,22692.96,95.58,41990.4,3250.62,3376.32,71405.88
2021-03-04,47327.04,0,151027.2,8620.74,27140.16,234115.14
2021-03-05,57873.6,469.26,31392,6437.7,12461.76,108634.32
2021-03-06,117185.76,6008.4,247680,11252.16,54730.56,436856.88
2021-03-07,72200.16,1711.26,200966.4,10005.84,42745.92,327629.58
2021-03-08,33305.76,378.36,7660.8,4726.62,2258.88,48330.42
2021-03-09,60852.96,2367.54,59414.4,8107.74,18809.7,149552.34
2021-03-10,130377.6,4996.8,119059.2,9305.1,44560.5,308299.2
2021-03-11,14397.12,3186.72,106444.8,2481.66,27625.38,154135.68
2021-03-12,107238.24,7006.86,203904,15049.26,104816.52,438014.88
2021-03-13,26969.76,1771.92,44121.6,5783.4,24637.74,103284.42
2021-03-14,42351.84,1713.42,35020.8,2476.44,19104,100666.5
2021-03-15,36273.6,1988.82,53395.2,9467.46,20576.22,121701.3
2021-03-16,138358.08,6452.46,131529.6,15010.56,66047.04,357397.74
2021-03-17,64837.44,2824.02,83116.8,9075.42,17801.28,177654.96
2021-03-18,26798.4,3753.54,99014.4,2863.98,23218.56,155648.88
2021-03-19,41447.52,8425.8,207043.2,3102.84,79020.48,339039.84
2021-03-20,108038.88,5692.5,148320,8820,59799.36,330670.74
2021-03-21,152295.84,761.58,503193.6,21639.06,101774.4,779664.48
2021-03-22,77954.4,4093.2,374745.6,21368.7,78441.6,556603.5
2021-03-23,20083.68,2041.38,142531.2,7310.16,32725.44,204691.86
2021-03-24,47213.28,755.82,10108.8,4181.58,8259.66,70519.14
2021-03-25,35170.56,477.9,3830.4,2291.04,3040.32,44810.22
2021-03-26,15953.76,2102.76,68371.2,4391.28,13935.3,104754.3
2021-03-27,128312.64,3504.24,240940.8,17886.6,44534.04,435178.32
2021-03-28,77775.84,6551.28,188870.4,4805.1,56638.08,334640.7
2021-03-29,66746.88,2512.08,61776,1677.42,21412.32,154124.7
2021-03-30,35172,398.52,2160,8280.18,2905.92,48916.62
2021-03-31,4769.28,1927.62,75974.4,534.96,10064.16,93270.42
