일자,동복북촌풍력발전단지,신창풍력발전단지,김녕풍력발전기,행원풍력발전단지,가시국산화풍력발전단지,단위: kWh
2021-07-01,19094.4,588.96,536.76,5070.96,4057.92,
2021-07-02,35856,771.48,1508.94,34876.08,5942.88,
2021-07-03,292348.8,11550.24,5387.58,99158.46,126118.08,
2021-07-04,86716.8,4258.8,2906.46,31907.7,51894.72,
2021-07-05,84009.6,9832.5,1579.5,28705.08,132523.2,
2021-07-06,166665.6,12902.58,2699.64,46255.5,178827.84,
2021-07-07,28886.4,7120.08,939.24,35784.84,152487.36,
2021-07-08,30441.6,2267.46,547.56,1616.28,18187.2,
2021-07-09,62784,1304.64,1797.48,15961.56,3493.44,
2021-07-10,7084.8,3843.36,784.08,4815.36,18856.8,
2021-07-11,4060.8,3381.3,245.7,3964.26,25600.32,
2021-07-12,25920,10155.6,999.18,11824.32,58331.52,
2021-07-13,93830.4,12987.54,2278.44,37133.28,89933.76,
2021-07-14,53366.4,9379.26,1883.34,36304.2,50385.6,
2021-07-15,77529.6,4395.24,1351.08,17767.74,16450.56,
2021-07-16,40435.2,766.62,1236.6,7187.58,1418.4,
2021-07-17,57830.4,1118.16,1695.24,26342.94,9347.04,
2021-07-18,139651.2,6925.32,2146.14,40452.54,29449.44,
2021-07-19,106560,7648.2,1717.2,26952.96,13543.2,
2021-07-20,29923.2,1315.8,757.98,10323.48,3921.12,
2021-07-21,75686.4,2249.64,1653.84,34930.44,33118.56,
2021-07-22,105148.8,2292.12,1972.8,45374.16,28333.44,
2021-07-23,85363.2,1082.34,135.54,35599.32,23732.64,
2021-07-24,126604.8,5755.32,89.64,57311.7,25489.44,
2021-07-25,209232,13599.72,8.46,115006.08,81624.96,
2021-07-26,261936,14998.68,31.14,86474.04,75765.6,
2021-07-27,90864,8488.98,225.18,23271.72,4030.56,
2021-07-28,63792,1459.26,1894.5,16861.8,2880,
2021-07-29,62726.4,2762.46,1083.42,16555.62,1247.04,
2021-07-30,12556.8,5751.72,550.8,11773.56,29669.76,
2021-07-31,633.6,1016.82,78.3,1041,6972.48,
2021-08-01,30124.8,3620.16,864.9,13142.76,20240.64,
2021-08-02,39168,1336.68,705.24,16234.02,14287.68,
2021-08-03,116524.8,7070.4,1924.74,32521.56,31140,
2021-08-04,66211.2,5629.14,1448.28,18360.54,15000.48,
2021-08-05,47232,1419.48,578.52,3551.88,3792.96,
2021-08-06,11289.6,3194.82,310.86,2055.06,19395.36,
2021-08-07,489.6,1922.04,165.06,1575.6,15233.76,
2021-08-08,45100.8,6573.06,2122.02,31104.06,27080.64,
2021-08-09,119433.6,5355,3383.82,60048.18,68700.96,
2021-08-10,12153.6,876.24,323.28,5123.52,4006.08,
2021-08-11,45446.4,2446.38,1966.68,45244.44,2044.8,
2021-08-12,21484.8,184.32,329.22,3661.02,1065.6,
2021-08-13,46771.2,4470.3,1661.58,34609.38,20795.04,
2021-08-14,147916.8,11242.26,6010.56,89194.98,70737.12,
2021-08-15,52272,2616.66,1299.6,31498.86,15433.92,
2021-08-16,178156.8,4812.66,5783.94,107221.38,35503.2,
2021-08-17,47635.2,6121.26,105.66,24814.8,29063.52,
2021-08-18,6048,103.14,230.4,1135.68,4507.2,
2021-08-19,12988.8,1449.54,139.5,919.2,2420.64,
2021-08-20,102384,7337.7,1441.26,39455.1,28501.92,
2021-08-21,138873.6,9633.6,2249.28,52331.58,142138.08,
2021-08-22,5328,1010.7,338.22,1840.02,7031.52,
2021-08-23,170784,8929.8,3819.06,64071,114909.12,
2021-08-24,166694.4,10515.06,4035.96,62177.1,152364.96,
2021-08-25,22060.8,9584.28,410.4,26304.78,113744.16,
2021-08-26,41990.4,691.74,135.18,11668.38,6045.12,
2021-08-27,25603.2,4380.3,570.42,4794.48,48673.44,
2021-08-28,23126.4,1962.54,503.64,3749.52,29846.88,
2021-08-29,24048,1114.2,763.02,4045.8,10866.24,
2021-08-30,633.6,314.82,61.92,156.48,367.2,
2021-08-31,979.2,828.9,114.12,1139.52,11949.12,
2021-09-01,28108.8,3009.96,22.14,6168.78,48222.72,
2021-09-02,17481.6,1298.7,10.44,5784.48,19699.2,
2021-09-03,82108.8,3563.82,5.22,60383.52,13737.6,
2021-09-04,124502.4,148.32,75.24,87758.94,18070.56,
2021-09-05,121766.4,1811.34,1.44,105438.96,12087.36,
2021-09-06,129225.6,3515.76,483.3,85719.84,16676.64,
2021-09-07,97574.4,3251.7,983.7,49935.18,30601.44,
2021-09-08,130579.2,3625.92,2641.32,70914,84888,
2021-09-09,20419.2,67.32,618.12,5012.88,550.08,
2021-09-10,45273.6,1191.96,930.42,10728.18,4338.72,
2021-09-11,11059.2,348.84,379.62,644.64,1614.24,
2021-09-12,28569.6,1821.6,976.86,19616.82,5126.4,
2021-09-13,334022.4,2558.7,7866.72,127438.02,125510.4,
2021-09-14,592876.8,7984.98,8253.72,118000.14,199920.96,
2021-09-15,657936,5812.2,608.04,81306.66,210755.52,
2021-09-16,634982.4,14246.28,3648.96,108735.66,182413.44,
2021-09-17,419875.2,8260.56,3637.62,79768.08,138612.96,
2021-09-18,31881.6,1397.88,674.82,13291.14,9851.04,
2021-09-19,71798.4,593.28,3613.86,59649.84,11406.24,
