³¯Â¥, °¡½Ã¸®Ç³·Â, ±è³çÇ³·Â¹ßÀü±â , µ¿º¹ºÏÃÌÇ³·Â , ½ÅÃ¢Ç³·Â ,Çà¿øÇ³·Â
2021-10-01,41912.64,721.26,28252.8,1752.84,11151.96
2021-10-02,39866.4,638.46,19814.4,997.74,10736.94
2021-10-03,30719.52,1900.62,110534.4,4449.78,30067.32
2021-10-04,98184.96,2761.92,172828.8,8796.96,42103.26
2021-10-05,2376,608.58,31017.6,797.76,4039.02
2021-10-06,4553.28,964.62,27072,582.48,10868.22
2021-10-07,51.84,239.22,12441.6,526.86,512.7
2021-10-08,2050.56,1088.64,46512,628.56,29500.32
2021-10-09,3365.28,2168.28,42681.6,1165.86,48219.24
2021-10-10,15713.28,440.28,36806.4,3144.24,12634.74
2021-10-11,75569.76,612.36,10339.2,6338.88,13093.5
2021-10-12,64692,6194.88,342633.6,6469.56,120809.16
2021-10-13,27990.72,5618.34,228902.4,2471.76,107342.28
2021-10-14,4394.88,1941.12,47635.2,405.9,32260.98
2021-10-15,28080,384.3,4377.6,3805.92,3688.14
2021-10-16,220832.64,4508.82,423964.8,17558.28,96559.14
2021-10-17,118440,132.66,258364.8,13455.18,54509.46
2021-10-18,29113.92,146.7,1382.4,2656.44,1991.28
2021-10-19,90535.68,6305.94,239472,14106.42,92990.7
2021-10-20,97973.28,3413.52,99417.6,9447.3,61288.8
2021-10-21,131774.4,5537.34,147916.8,13428.9,89982.84
2021-10-22,126082.08,8363.7,354470.4,17157.78,140398.38
2021-10-23,46860.48,1359.9,28886.4,4525.92,15240.18
2021-10-24,11908.8,881.1,19152,2312.28,17852.34
2021-10-25,73091.52,826.56,22809.6,4559.58,15042.06
2021-10-26,53333.28,614.7,16070.4,4148.28,9393.18
2021-10-27,100202.4,3212.82,126806.4,8582.76,39695.1
2021-10-28,116287.2,2511,75945.6,5961.78,46215.36
2021-10-29,41235.84,7563.6,204825.6,5335.56,129219.9
2021-10-30,12382.56,2411.1,37584,3659.04,38371.14
2021-10-31,34204.32,251.1,6019.2,3848.22,3287.76
2021-11-01,80890.56,1480.5,51523.2,7658.46,31629.54
2021-11-02,91810.08,4522.14,171993.6,14606.28,82497.48
2021-11-03,77722.56,5101.2,131673.6,8232.3,77179.8
2021-11-04,45635.04,895.86,29491.2,957.78,23453.52
2021-11-05,5454.72,1144.44,30729.6,2074.68,20995.68
2021-11-06,84083.04,8065.08,327830.4,6515.28,145998.6
2021-11-07,61257.6,3582.9,188294.4,9473.04,115475.22
2021-11-08,166921.92,1522.08,522662.4,20195.46,120950.52
2021-11-09,110403.36,2293.2,510508.8,20322.9,130871.28
2021-11-10,84008.16,1234.98,522028.8,13984.56,122674.38
2021-11-11,60389.28,4944.06,391708.8,11599.74,126450.9
2021-11-12,29171.52,3925.98,394934.4,18132.48,116368.38
2021-11-13,8101.44,1948.86,66182.4,5813.46,22370.28
2021-11-14,46759.68,2810.52,129916.8,5285.7,34967.88
2021-11-15,27034.56,529.74,21657.6,456.48,7718.4
2021-11-16,86919.84,996.48,18864,4813.56,19528.44
2021-11-17,112122.72,777.78,16646.4,4200.48,15833.4
2021-11-18,27312.48,174.24,1497.6,2242.8,1642.5
2021-11-19,36810.72,533.88,7920,2315.34,11394.24
2021-11-20,29666.88,202.14,3081.6,3761.82,3561.54
2021-11-21,9833.76,340.2,5904,1288.08,3624.9
2021-11-22,128334.24,2933.1,548236.8,21178.08,111110.04
2021-11-23,106793.28,2996.82,599673.6,20812.14,123139.62
2021-11-24,41476.32,5737.68,271238.4,10576.26,87578.7
2021-11-25,59529.6,4735.8,160012.8,3228.84,54232.98
2021-11-26,98411.04,2318.76,62467.2,7830.36,43467.54
2021-11-27,43391.52,1318.14,30384,10063.98,24768.84
2021-11-28,2327.04,990.36,39628.8,481.68,16715.4
2021-11-29,60.48,1152.18,63187.2,2068.02,9380.82
2021-11-30,139479.84,678.96,434937.6,15654.78,50678.4
2021-12-01,164213.28,2188.08,647452.8,23468.94,78052.62
2021-12-02,40092.48,3157.92,101635.2,11788.2,39201.54
2021-12-03,69091.2,8793.54,401817.6,15637.68,98291.16
2021-12-04,42361.92,84.6,225244.8,11160.54,65371.92
2021-12-05,56599.2,61.92,16963.2,4644.9,11747.16
2021-12-06,34871.04,389.16,10656,2340,4790.22
2021-12-07,136889.28,4140.18,107078.4,13423.86,64412.64
2021-12-08,26707.68,1772.82,31564.8,5038.56,18672.66
2021-12-09,7770.24,3789.9,70070.4,2412,73445.46
