일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2022-07-01,15919.2,2293.2,153907.2,5517.36,39454.98,217091.94
2022-07-02,384.48,618.66,40982.4,698.58,2269.08,44953.2
2022-07-03,10461.6,1470.6,68572.8,4273.92,18142.14,102921.06
2022-07-04,17196.48,1609.02,69264,1994.04,31110.48,121174.02
2022-07-05,5641.92,221.04,1670.4,1653.3,3005.82,12192.48
2022-07-06,44179.2,2992.86,138268.8,10614.6,45506.82,241562.28
2022-07-07,91589.76,3411.18,220060.8,10096.2,53586.36,378744.3
2022-07-08,24747.84,398.16,10627.2,2544.66,6427.92,44745.78
2022-07-09,37018.08,2002.5,48672,3333.6,42596.7,133622.88
2022-07-10,8419.68,593.46,26294.4,3127.5,15149.28,53584.32
2022-07-11,10051.2,283.68,20390.4,2436.12,6945.24,40106.64
2022-07-12,2645.28,1400.04,37008,2076.12,25960.2,69089.64
2022-07-13,24132.96,988.74,52300.8,6536.16,26836.02,110794.68
2022-07-14,33914.88,2626.74,62409.6,2029.86,43769.7,144750.78
2022-07-15,9554.4,473.58,8640,814.14,10084.26,29566.38
2022-07-16,78572.16,3344.4,69926.4,993.24,56134.62,208970.82
2022-07-17,8694.72,833.58,51264,1952.28,22080.06,84824.64
2022-07-18,83773.44,890.1,47952,8197.92,21970.8,162784.26
2022-07-19,49645.44,4111.38,97516.8,3143.16,56454.3,210871.08
2022-07-20,4930.56,214.56,806.4,1802.88,7328.52,15082.92
2022-07-21,94360.32,5109.48,322617.6,7532.28,120683.46,550303.14
2022-07-22,32061.6,3209.94,83088,611.82,75760.98,194732.34
2022-07-23,38253.6,2331.36,158889.6,6093,40830.12,246397.68
2022-07-24,62821.44,4212,154713.6,4220.82,81222.9,307190.76
2022-07-25,5904,692.46,16444.8,1001.7,14333.82,38376.78
2022-07-26,89.28,1305.18,27532.8,545.04,9842.7,39315
2022-07-27,721.44,1908.54,77097.6,3669.48,32499.42,115896.48
2022-07-28,9938.88,1627.74,64339.2,3709.08,25920.6,105535.5
2022-07-29,16349.76,1230.3,70617.6,1148.94,22204.98,111551.58
2022-07-30,130479.84,5587.02,285350.4,5307.84,142804.74,569529.84
2022-07-31,199696.32,6465.24,440697.6,10303.92,119252.22,776415.3
2022-08-01,145814.4,4093.74,265996.8,8111.7,38682.84,462699.48
2022-08-02,93396.96,1647.36,98524.8,5055.3,16300.5,214924.92
2022-08-03,31998.24,409.32,18345.6,3844.08,4947.42,59544.66
2022-08-04,2311.2,146.7,7718.4,1267.92,343.2,11787.42
2022-08-05,16342.56,1213.2,27043.2,4418.64,10626.6,59644.2
2022-08-06,2520,125.82,2188.8,2304,475.5,7614.12
2022-08-07,46494.72,630.54,12729.6,6571.08,6201.12,72627.06
2022-08-08,90826.56,977.76,17625.6,7694.82,23294.16,140418.9
2022-08-09,39954.24,1180.26,22896,7704.9,20807.4,92542.8
2022-08-10,54241.92,469.98,10310.4,5028.84,9901.26,79952.4
2022-08-11,67011.84,439.74,10339.2,5355.72,7778.22,90924.72
2022-08-12,9059.04,1195.56,21283.2,1076.04,12286.44,44900.28
2022-08-13,20056.32,191.34,489.6,4183.74,429.42,25350.42
2022-08-14,72728.64,808.92,9417.6,6054.12,13540.38,102549.66
2022-08-15,122863.68,1244.34,19238.4,8471.52,48714.96,200532.9
2022-08-16,130662.72,1461.06,79200,4834.8,10339.14,226497.72
2022-08-17,47337.12,1720.44,58867.2,4783.14,0,112707.9
2022-08-18,36283.68,555.3,11088,1270.26,292.68,49489.92
2022-08-19,65806.56,476.28,8640,5384.7,37.44,80344.98
2022-08-20,38116.8,998.82,20188.8,2542.86,3632.22,65479.5
2022-08-21,28242.72,1206.72,28224,2328.84,12169.8,72172.08
2022-08-22,823.68,985.32,19267.2,609.3,3964.02,25649.52
2022-08-23,5155.2,135.9,2073.6,984.96,261.12,8610.78
2022-08-24,68261.76,1497.96,36576,3640.5,13138.5,123114.72
2022-08-25,29469.6,400.32,35884.8,1191.24,16079.22,83025.18
2022-08-26,39437.28,939.06,42105.6,2682.36,32772.6,117936.9
2022-08-27,87780.96,3472.38,80928,7328.88,51597.9,231108.12
2022-08-28,71275.68,5019.48,103334.4,5896.98,71644.32,257170.86
2022-08-29,2014.56,2584.08,59616,422.46,48295.14,112932.24
2022-08-30,6628.32,335.34,18432,173.88,2726.1,28295.64
2022-08-31,119953.44,2386.08,57542.4,9721.08,41304.36,230907.36
2022-09-01,75481.92,3142.44,74448,9780.12,51833.76,214686.24
2022-09-02,81865.44,9304.92,260438.4,4463.64,128839.92,484912.32
2022-09-03,89254.08,6140.34,272275.2,3865.86,123236.1,494771.58
2022-09-04,47702.88,2453.22,118540.8,4958.82,39419.76,213075.48
2022-09-05,101069.28,3246.84,452707.2,4933.26,59918.22,621874.8
2022-09-06,62174.88,3967.02,231724.8,3979.62,34617.24,336463.56
2022-09-07,71375.04,1358.82,31737.6,1678.86,16153.68,122304
2022-09-08,41660.64,322.38,7948.8,6844.86,3641.22,60417.9
2022-09-09,28995.84,2985.3,49680,5960.52,33107.7,120729.36
2022-09-10,29311.2,10093.32,179942.4,3326.58,51937.92,274611.42
2022-09-11,10814.4,5091.84,101520,245.52,13804.8,131476.56
2022-09-12,21561.12,2165.22,62611.2,3546,0,89883.54
2022-09-13,120686.4,3238.38,309283.2,9839.7,0,443047.68
2022-09-14,189319.68,4320.72,531446.4,7850.52,0,732937.32
2022-09-15,162869.76,4169.52,350524.8,12227.76,0,529791.84
2022-09-16,44167.68,1800,75715.2,6634.44,0,128317.32
2022-09-17,54465.12,433.98,22118.4,7776.72,0,84794.22
2022-09-18,153838.08,2321.28,63878.4,8338.32,0,228376.08
2022-09-19,155485.44,4160.16,405590.4,504.9,0,565740.9
2022-09-20,66767.04,5066.46,185788.8,1049.76,0,258672.06
2022-09-21,37612.8,5580.72,138873.6,3119.94,15457.92,200644.98
2022-09-22,14954.4,2590.56,65548.8,468,39268.98,122830.74
2022-09-23,102889.44,4269.06,132307.2,1310.04,47502.66,288278.4
2022-09-24,121232.16,2502.36,58665.6,3167.46,40065.84,225633.42
2022-09-25,17452.8,725.22,21139.2,1783.44,7278.96,48379.62
2022-09-26,13651.2,101.7,0,1842.48,1.92,15597.3
2022-09-27,29377.44,129.6,0,1102.32,197.64,30807
2022-09-28,1375.2,329.76,0,90.9,5408.34,7204.2
2022-09-29,4188.96,407.88,0,300.6,8069.76,12967.2
2022-09-30,262.08,187.38,0,51.12,1780.38,2280.96
