dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.2055071592330933,14.088673114776611
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1634596586227417,13.564322710037231
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.148765206336975,12.098212718963623
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2084410190582275,13.960617780685425
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.1832904815673828,10.797790050506592
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.173686146736145,16.88815402984619
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.2238476276397705,12.450847864151001
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2062791585922241,18.88930630683899
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.1963931322097778,12.491279363632202
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.170137882232666,17.93365454673767
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.212152361869812,16.159133672714233
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1962250471115112,16.218024015426636
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.2412432432174683,9.781014919281006
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1445659399032593,22.614609479904175
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.2132021188735962,36.553529500961304
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1644620895385742,22.46095299720764
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.215255618095398,18.470741748809814
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.171501874923706,21.998530864715576
pedalmeDyGrEncoder,STGCN,0.2857142857142857,block,4,12,linear,50,1.3092514276504517,17.362120628356934
pedalmeDyGrEncoder,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1514055728912354,18.607790231704712
