dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
monte,STGCN,0.7,rand,4,12,linear,50,1.064456820487976,960.6498260498047
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9950742721557617,900.6657347679138
monte,STGCN,0.7,rand,4,12,linear,50,1.3337962627410889,747.5470371246338
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9999019503593445,838.6550390720367
monte,STGCN,0.7,rand,4,12,linear,50,1.185637354850769,520.4194526672363
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9912711977958679,828.8773050308228
monte,STGCN,0.7,rand,4,12,linear,50,1.0200597047805786,509.34606552124023
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0183864831924438,934.7661020755768
monte,STGCN,0.7,rand,4,12,linear,50,1.1477123498916626,635.4988613128662
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9991185665130615,1052.630936384201
monte,STGCN,0.7,rand,4,12,linear,50,1.2247824668884277,737.6014173030853
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0097451210021973,936.448326587677
monte,STGCN,0.7,rand,4,12,linear,50,1.1906683444976807,894.9343729019165
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9747830033302307,936.5727977752686
monte,STGCN,0.7,rand,4,12,linear,50,1.1344777345657349,714.8045635223389
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.018430471420288,1068.6317772865295
monte,STGCN,0.7,rand,4,12,linear,50,1.068211555480957,606.64994764328
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0031628608703613,1062.6739642620087
monte,STGCN,0.7,rand,4,12,linear,50,1.1690183877944946,743.5829577445984
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0040642023086548,861.0386290550232
monte,STGCN,0.7,rand,4,12,linear,50,1.1590431928634644,967.5634942054749
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0085489749908447,909.5656847953796
monte,STGCN,0.7,rand,4,12,linear,50,1.0886361598968506,683.1560893058777
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0197614431381226,1000.7696883678436
monte,STGCN,0.7,rand,4,12,linear,50,1.2399468421936035,404.03877663612366
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0104031562805176,1049.2295424938202
monte,STGCN,0.7,rand,4,12,linear,50,1.0480674505233765,386.43032145500183
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0228924751281738,1125.692403793335
monte,STGCN,0.7,rand,4,12,linear,50,1.118813395500183,322.960364818573
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9932265281677246,1122.975433588028
monte,STGCN,0.7,rand,4,12,linear,50,1.1354304552078247,380.601243019104
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0264592170715332,1069.7784669399261
monte,STGCN,0.7,rand,4,12,linear,50,1.0832356214523315,634.0776505470276
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0529357194900513,877.730870962143
monte,STGCN,0.7,rand,4,12,linear,50,1.2218490839004517,506.14560866355896
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0424085855484009,780.9791781902313
monte,STGCN,0.7,rand,4,12,linear,50,1.19884192943573,564.817375421524
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0281195640563965,860.3810303211212
monte,STGCN,0.7,rand,4,12,linear,50,1.0456269979476929,838.1385016441345
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9971080422401428,759.8564994335175
monte,STGCN,0.7,rand,4,12,linear,50,1.1910005807876587,914.3003492355347
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9920957088470459,639.7102427482605
monte,STGCN,0.7,rand,4,12,linear,50,1.1802093982696533,693.5863468647003
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0225690603256226,807.3883571624756
monte,STGCN,0.7,rand,4,12,linear,50,1.130295991897583,723.4683787822723
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9864001274108887,967.346257686615
monte,STGCN,0.7,rand,4,12,linear,50,1.313411831855774,490.8658301830292
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9826315641403198,1045.8901035785675
monte,STGCN,0.7,rand,4,12,linear,50,1.1161624193191528,375.90224051475525
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0161497592926025,984.1364006996155
monte,STGCN,0.7,rand,4,12,linear,50,1.120211124420166,284.11961793899536
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.023231029510498,985.1457366943359
monte,STGCN,0.7,rand,4,12,linear,50,1.256944179534912,431.6848349571228
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0124179124832153,1015.6616756916046
monte,STGCN,0.7,rand,4,12,linear,50,1.1987199783325195,283.7219262123108
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.010369896888733,900.7109756469727
monte,STGCN,0.7,rand,4,12,linear,50,1.097161889076233,344.8690800666809
monte,IT-STGCN,0.7,rand,4,12,linear,50,0.9622101783752441,908.3813197612762
monte,STGCN,0.7,rand,4,12,linear,50,1.0013885498046875,378.3800096511841
monte,IT-STGCN,0.7,rand,4,12,linear,50,1.0110101699829102,817.5627686977386
