,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataet
0,STGCN,0.8,rand,8,4,linear,50,1.3199667930603027,2081.507359266281,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.201921463012695,40122.62473678589,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.4126739501953125,2053.803900003433,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1565099954605105,41113.50557541847,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.2888108491897583,1571.772824048996,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.2467889785766602,38482.47136473656,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.477800369262695,1777.163242816925,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.2199795246124268,37674.682477235794,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.360848069190979,1811.2028229236605,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1808993816375732,36275.23890590668,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.403379201889038,1908.07954621315,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1447018384933472,35286.40029478073,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.455552577972412,1889.58114695549,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1966521739959717,36592.44479084015,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.3082152605056765,1806.638658761978,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1611863374710083,41100.66187787056,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.4257243871688845,1782.6752123832705,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.206133484840393,37425.20039439201,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.3547700643539429,1920.1721127033236,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1701046228408811,35602.87179660797,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.2835065126419067,1921.654863357544,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1915779113769531,37001.68460226059,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.3655134439468384,1908.1597685813904,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.2392971515655518,36501.4895863533,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.252493381500244,1545.2310163974762,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1470072269439695,38471.17579650879,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.3056195974349976,1816.507339000702,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.193273663520813,36445.619203329086,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.3611054420471191,2184.932654619217,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1927218437194824,38960.16278934479,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.3491041660308838,1985.063189744949,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1645451784133911,36777.30685257912,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.2684996128082275,1825.3002541065216,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.2502630949020386,36198.44590640068,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.3024691343307495,1810.5225055217743,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.238850235939026,42782.095450401306,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.408422827720642,1803.3853323459623,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.243520975112915,37177.45224022865,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.347900152206421,1767.8161900043488,DCRNN,windmillsmall
1,IT-STGCN,0.8,rand,8,4,linear,50,1.1675647497177124,36937.13228869438,DCRNN,windmillsmall
0,STGCN,0.8,rand,8,4,linear,50,1.38953697681427,1883.3536574840543,DCRNN,windmillsmall
