,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0203224420547483,2175.0988385677338,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9815043807029724,32465.51308441162,DCRNN,windmillsmall
2,STGCN,0.2861435009657343,block,8,4,linear,50,1.004444599151611,1935.569999694824,DCRNN,windmillsmall
3,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9812142252922058,32845.41630530357,DCRNN,windmillsmall
4,STGCN,0.2861435009657343,block,8,4,linear,50,1.013661503791809,1692.5070819854736,DCRNN,windmillsmall
5,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9804741144180298,33814.66034817696,DCRNN,windmillsmall
6,STGCN,0.2861435009657343,block,8,4,linear,50,1.011056423187256,2181.0004761219025,DCRNN,windmillsmall
7,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.981757879257202,33540.99267196655,DCRNN,windmillsmall
8,STGCN,0.2861435009657343,block,8,4,linear,50,0.9998332858085632,2373.8218533992767,DCRNN,windmillsmall
9,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9811745285987854,33943.87722206116,DCRNN,windmillsmall
10,STGCN,0.2861435009657343,block,8,4,linear,50,1.0105106830596924,3083.775542736053,DCRNN,windmillsmall
11,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9822869896888732,40102.10816144943,DCRNN,windmillsmall
12,STGCN,0.2861435009657343,block,8,4,linear,50,1.01464581489563,2173.8467233181,DCRNN,windmillsmall
13,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9816007614135742,34102.36699676514,DCRNN,windmillsmall
14,STGCN,0.2861435009657343,block,8,4,linear,50,1.0084327459335327,2414.470525741577,DCRNN,windmillsmall
15,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9815916419029236,50668.20967102051,DCRNN,windmillsmall
16,STGCN,0.2861435009657343,block,8,4,linear,50,1.0104835033416748,2214.2666676044464,DCRNN,windmillsmall
17,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9812114238739014,50589.31474208832,DCRNN,windmillsmall
18,STGCN,0.2861435009657343,block,8,4,linear,50,1.0048103332519531,3663.3587503433214,DCRNN,windmillsmall
19,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.980951964855194,53854.91299962997,DCRNN,windmillsmall
20,STGCN,0.2861435009657343,block,8,4,linear,50,1.008064031600952,3215.2248606681824,DCRNN,windmillsmall
21,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9839537143707277,54643.06256580353,DCRNN,windmillsmall
22,STGCN,0.2861435009657343,block,8,4,linear,50,1.0132100582122805,3478.9071061611176,DCRNN,windmillsmall
23,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9827741980552672,52446.01152276993,DCRNN,windmillsmall
24,STGCN,0.2861435009657343,block,8,4,linear,50,1.0115838050842283,3081.7267365455627,DCRNN,windmillsmall
25,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9860164523124696,56426.64941263199,DCRNN,windmillsmall
26,STGCN,0.2861435009657343,block,8,4,linear,50,1.015434741973877,2023.4309289455407,DCRNN,windmillsmall
27,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9877921342849731,51672.82574748993,DCRNN,windmillsmall
28,STGCN,0.2861435009657343,block,8,4,linear,50,1.01377272605896,2571.706331014633,DCRNN,windmillsmall
29,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.982856512069702,51477.09146881104,DCRNN,windmillsmall
30,STGCN,0.2861435009657343,block,8,4,linear,50,1.015272617340088,2250.8062818050385,DCRNN,windmillsmall
31,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9850974082946776,58892.84829950333,DCRNN,windmillsmall
32,STGCN,0.2861435009657343,block,8,4,linear,50,1.018147587776184,2143.8105795383453,DCRNN,windmillsmall
33,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9818746447563172,59904.3546538353,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.01576828956604,1703.6437346935272,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9831794500350952,40210.7568564415,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0074670314788818,1709.9454522132874,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9822514057159424,40547.537991046906,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.012077569961548,1806.0681807994845,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9819393157958984,42358.55929446221,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0088026523590088,1693.0827839374542,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9852131009101868,59893.083260536194,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.006754755973816,1779.3907697200775,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9810303449630736,41373.15229177475,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.006056308746338,1814.5946283340452,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9833481907844543,41524.58064079285,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0093376636505127,1695.0354301929474,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9812434315681458,41077.24848031998,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0181162357330322,1716.0523352622986,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9816370010375975,40905.728982687,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.016060471534729,1657.061853170395,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9854170680046082,41239.1636762619,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0093713998794556,1757.8566422462463,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9821577072143556,41706.72186565399,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.015355348587036,1691.55668759346,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9854199290275574,41083.47136878967,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.019775390625,1805.827607870102,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9814252853393556,42330.89479351044,DCRNN,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0185327529907229,1784.1007688045502,DCRNN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9825097918510436,40878.6797978878,DCRNN,windmillsmall
