,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,windmillsmallEvolveGCNH,STGCN,0.5,rand,8,12,linear,50,1.1864453554153442,133767.05371832848,EvolveGCNH
1,windmillsmallEvolveGCNH,IT-STGCN,0.5,rand,8,12,linear,50,0.9992238879203796,179835.51774549484,EvolveGCNH
0,windmillsmallEvolveGCNH,STGCN,0.5,rand,8,12,linear,50,1.2128955125808716,13894.671447753906,EvolveGCNH
1,windmillsmallEvolveGCNH,IT-STGCN,0.5,rand,8,12,linear,50,0.9889107346534728,84118.06317424774,EvolveGCNH
0,windmillsmallEvolveGCNH,STGCN,0.5,rand,8,12,linear,50,1.2158690690994265,29849.414428710938,EvolveGCNH
1,windmillsmallEvolveGCNH,IT-STGCN,0.5,rand,8,12,linear,50,1.0042610168457031,185627.01037740707,EvolveGCNH
0,windmillsmallEvolveGCNH,STGCN,0.5,rand,8,12,linear,50,1.1996530294418335,45314.09069728851,EvolveGCNH
1,windmillsmallEvolveGCNH,IT-STGCN,0.5,rand,8,12,linear,50,1.0055676698684692,150633.39748454094,EvolveGCNH
0,windmillsmallEvolveGCNH,STGCN,0.5,rand,8,12,linear,50,1.264251470565796,36118.83916378021,EvolveGCNH
1,windmillsmallEvolveGCNH,IT-STGCN,0.5,rand,8,12,linear,50,0.9991883039474488,176238.21925520897,EvolveGCNH
0,windmillsmallEvolveGCNH,STGCN,0.5,rand,8,12,linear,50,1.155326247215271,39695.61387062073,EvolveGCNH
1,windmillsmallEvolveGCNH,IT-STGCN,0.5,rand,8,12,linear,50,0.9934322834014891,165263.88799524307,EvolveGCNH
0,windmillsmallEvolveGCNH,STGCN,0.5,rand,8,12,linear,50,1.2144579887390137,61747.262808561325,EvolveGCNH
1,windmillsmallEvolveGCNH,IT-STGCN,0.5,rand,8,12,linear,50,0.9909746646881104,169566.83029437065,EvolveGCNH
