,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.8,rand,8,12,linear,50,1.5974633693695068,1710.9285340309143,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.173144817352295,41469.53624677658,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.5833251476287842,1770.665480852127,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2655746936798096,37094.17253232002,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4958781003952026,1472.3318829536438,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2768404483795166,42933.12555241585,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.6308916807174685,1652.9836132526398,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.28170907497406,49402.67996811867,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.379442572593689,1665.2270352840424,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.141351342201233,48675.56798100472,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.379572510719299,1633.0468351840973,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2399754524230957,59660.261095047,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.6047158241271973,1664.0345430374146,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1661759614944458,69121.70998644829,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4837749004364014,1663.098181962967,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.143670916557312,68103.47957205772,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.276178002357483,1631.8010172843933,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.237462282180786,54627.19614362717,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4126099348068235,1401.2325596809387,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2559123039245603,49616.92174077034,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.499398112297058,1330.696441411972,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.179213047027588,49792.17415308952,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.1723840236663818,1335.7948434352877,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1830371618270874,50495.06412410736,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.2031463384628296,1486.004989862442,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.207169771194458,48990.59437227249,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3009356260299685,1550.868145942688,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.097523212432861,49252.556260347366,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.2260247468948364,1536.9509892463684,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1645885705947876,49126.06455492973,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.344410061836243,1587.5895597934723,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1225075721740725,48855.86723470688,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.448312282562256,1547.4396123886108,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1868449449539185,49584.8653883934,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.147899508476257,1554.895319223404,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.261028289794922,50664.17698907852,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,2.2475712299346924,1658.155663728714,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2084753513336182,47802.103652477264,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3949228525161743,1674.2380318641665,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.173208236694336,48692.6802880764,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4887515306472778,1669.716739177704,EvolveGCNH,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2225146293640137,48661.159261226654,EvolveGCNH,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4008022546768188,1622.5290973186493,EvolveGCNH,windmillsmall
