,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.012428641319275,1619.2220194339752,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9873803853988647,40685.70448470116,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.013921141624451,1619.7133367061615,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9854655265808104,40955.59351062775,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.009907841682434,1585.0485637187958,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.985508382320404,45161.83085799217,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0044492483139038,1559.500680923462,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9862897396087646,45213.8719060421,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0139833688735962,1585.0083124637604,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.980614423751831,45190.7410056591,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0162630081176758,7497.104714632034,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9815634489059448,55013.289001226425,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0017472505569458,7884.817856788635,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.987169623374939,54052.30454349518,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0032920837402344,9791.182147741318,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9845608472824096,52463.75952959061,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0031445026397705,7554.408528804779,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.986237108707428,52961.781366586685,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0029618740081787,8916.94661974907,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9873168468475342,53322.6885304451,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.007638454437256,1702.5604228973389,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9853581190109252,40536.22141933441,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0075803995132446,1714.01620554924,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9812536835670472,40305.89966917038,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0082709789276123,1529.1221551895142,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.986854612827301,45166.83272314072,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.002665400505066,1498.2190635204315,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9870808720588684,45209.94992852211,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0042948722839355,6938.293455123901,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9920193552970886,50082.54355072975,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0007396936416626,7862.044116020203,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9815655946731568,52787.32687282562,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.009388089179993,9054.323355674744,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9864075779914856,50867.35360741615,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0119154453277588,9478.396724700928,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9844611883163452,50602.08973479271,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0093278884887695,8615.182821035385,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9897730946540833,51442.24559664726,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.001995086669922,1571.5488476753235,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9832910299301147,40015.99995064736,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.01720929145813,1648.5119802951813,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9844061136245728,41493.32191491127,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0000882148742676,1610.021725654602,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9850321412086488,44489.36873459816,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0057376623153689,1677.7003569602966,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.983039915561676,45218.196135520935,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.006775140762329,1620.6730799674988,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9879106879234314,40686.769211530685,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0043120384216309,1655.6315393447876,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9877749681472778,40899.62480735779,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0092915296554563,1776.534835100174,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9861522912979126,44754.28153133392,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0044034719467163,1809.606141090393,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9927611947059632,44626.66824221611,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.000751256942749,1830.026115655899,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9836074113845824,45316.52571702004,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.014332294464111,10849.82087302208,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.986221432685852,51014.2957444191,EvolveGCNH,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0041791200637815,10368.732793092728,EvolveGCNH,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9779852032661438,51752.80823659897,EvolveGCNH,windmillsmall
