,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.015132188796997,5872.626731395721,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.983199656009674,40938.51360988617,EvolveGCNO,windmillsmall
2,STGCN,0.2861435009657343,block,8,4,linear,50,1.0187479257583618,2150.8994710445404,EvolveGCNO,windmillsmall
3,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9823070168495178,36381.586228609085,EvolveGCNO,windmillsmall
4,STGCN,0.2861435009657343,block,8,4,linear,50,1.0109572410583496,6435.825519323349,EvolveGCNO,windmillsmall
5,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9835588335990906,62676.66282868385,EvolveGCNO,windmillsmall
6,STGCN,0.2861435009657343,block,8,4,linear,50,1.0125811100006104,7425.412776708603,EvolveGCNO,windmillsmall
7,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.981820583343506,62219.89437413216,EvolveGCNO,windmillsmall
8,STGCN,0.2861435009657343,block,8,4,linear,50,1.0173499584197998,6669.152256011963,EvolveGCNO,windmillsmall
9,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.983307957649231,60186.35041499138,EvolveGCNO,windmillsmall
10,STGCN,0.2861435009657343,block,8,4,linear,50,1.0159001350402832,4801.904518842697,EvolveGCNO,windmillsmall
11,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9816239476203918,51498.64624428749,EvolveGCNO,windmillsmall
12,STGCN,0.2861435009657343,block,8,4,linear,50,1.014161229133606,4805.188709259033,EvolveGCNO,windmillsmall
13,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9808992743492126,59934.17529582977,EvolveGCNO,windmillsmall
14,STGCN,0.2861435009657343,block,8,4,linear,50,1.0116941928863523,10119.897711992264,EvolveGCNO,windmillsmall
15,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9832058548927308,63929.206933021545,EvolveGCNO,windmillsmall
16,STGCN,0.2861435009657343,block,8,4,linear,50,1.0149643421173096,10755.02436542511,EvolveGCNO,windmillsmall
17,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9806241989135742,61587.61476802826,EvolveGCNO,windmillsmall
18,STGCN,0.2861435009657343,block,8,4,linear,50,1.0126196146011353,4768.339679479599,EvolveGCNO,windmillsmall
19,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9816890358924866,61682.468266010284,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0118324756622314,1877.8562669754028,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9813262820243835,19112.37234187126,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0181323289871216,1500.0032811164856,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9829124808311462,19973.63444542885,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.015336275100708,1347.8289649486542,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9837109446525574,19439.797256231308,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0135414600372314,1059.240326166153,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9832754731178284,19714.83790063858,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0161261558532717,1558.5174782276154,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9830176830291748,19683.479242563248,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.017603039741516,1367.8565254211426,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9812287092208862,19162.40651583672,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.0258958339691162,1491.1941599845886,EvolveGCNO,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9817665219306946,20554.064731121063,EvolveGCNO,windmillsmall
0,STGCN,0.2861435009657343,block,8,4,linear,50,1.018160700798035,1709.080864906311,EvolveGCNO,windmillsmall
