,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9885467886924744,2133.28600525856,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9813768267631532,66340.91743350029,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.989145278930664,2086.598963022232,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9822275638580322,69198.71046185493,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9926986694335938,2114.366422176361,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9821643829345704,65063.21441149712,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.998525083065033,2061.977752685547,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9853014945983888,51770.71851825714,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9837204813957214,1738.834255695343,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9824490547180176,50870.62570595741,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9823384881019592,2081.1378695964813,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9833288788795472,50350.78823518753,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9885680675506592,2128.0923755168915,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9840506911277772,50466.93351483345,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9865738153457642,2186.841594219208,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9818081855773926,50221.09430861473,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.983796238899231,2150.7611680030823,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9814037680625916,49372.4715423584,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9851717352867126,2168.735274791717,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9832550883293152,49156.13231396675,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9846138954162598,2163.64568066597,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9819731712341307,48949.05257058144,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9849296808242798,2015.0029110908508,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.980993628501892,40770.44945859909,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9877816438674928,1894.722840309143,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9833516478538512,36780.523505449295,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9841816425323486,1884.9403631687164,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.983005166053772,35988.9574534893,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.981753706932068,2134.538023710251,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9838298559188844,48363.41929364205,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9844196438789368,2143.51482462883,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981044590473175,40376.17213225365,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9869181513786316,2291.306538581848,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9828816652297974,46363.55335831642,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9866081476211548,2292.721170425415,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9813315868377686,56719.149609565735,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.003736138343811,2149.3551259040837,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9805843234062196,42009.70195007324,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9862086176872252,2178.0976135730743,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9812363386154176,41058.0922408104,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9845998883247375,2244.6354615688324,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9841949343681335,41193.10687112808,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.99001145362854,2076.0346887111664,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9833379983901978,41592.11141371727,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9843565821647644,2252.643086194992,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9823610186576844,41612.2045083046,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.998577117919922,2234.2873814105988,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9829736351966858,42142.503861665726,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9910995960235596,2217.354677438736,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9828295111656188,40894.27911233902,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9932337999343872,2256.3327157497406,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9817089438438416,41914.85076570511,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9938810467720032,2004.0450904369357,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9826384782791138,39728.89249968529,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.988499402999878,2299.5368609428406,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9850172996520996,34247.86720991135,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9864607453346252,2375.780627012253,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9832158088684082,35134.72994017601,GCLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9913530349731444,1313.710487127304,GCLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.982280433177948,13758.49447607994,GCLSTM,windmillsmall
