,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,monte,STGCN,0.3,rand,4,12,linear,50,1.005974292755127,610.0962083339691,GCLSTM
1,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.9809702038764954,964.588760137558,GCLSTM
2,monte,STGCN,0.3,rand,4,12,linear,50,1.0361175537109375,872.2015442848206,GCLSTM
3,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.9641948938369752,951.7487440109252,GCLSTM
4,monte,STGCN,0.3,rand,4,12,linear,50,1.0480931997299194,705.8883776664734,GCLSTM
5,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.9600632786750792,1004.0392370224,GCLSTM
6,monte,STGCN,0.3,rand,4,12,linear,50,1.0357095003128052,698.6598451137543,GCLSTM
7,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.9604033827781676,1067.45179438591,GCLSTM
8,monte,STGCN,0.3,rand,4,12,linear,50,1.029491901397705,765.6980900764465,GCLSTM
9,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.9594898223876952,961.7840762138368,GCLSTM
10,monte,STGCN,0.3,rand,4,12,linear,50,1.0158510208129885,871.2700600624084,GCLSTM
11,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.953267514705658,943.089138031006,GCLSTM
12,monte,STGCN,0.3,rand,4,12,linear,50,1.0033812522888184,752.639497756958,GCLSTM
13,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.9803492426872252,1092.0837168693542,GCLSTM
14,monte,STGCN,0.3,rand,4,12,linear,50,0.967831254005432,435.7815465927124,GCLSTM
15,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.950606405735016,1090.7944462299347,GCLSTM
16,monte,STGCN,0.3,rand,4,12,linear,50,1.0401132106781006,587.3099417686462,GCLSTM
17,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.9720560908317566,948.9504301548004,GCLSTM
18,monte,STGCN,0.3,rand,4,12,linear,50,1.0209895372390747,877.4512617588043,GCLSTM
19,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.970970869064331,860.8936285972595,GCLSTM
20,monte,STGCN,0.3,rand,4,12,linear,50,1.0157052278518677,662.6699774265289,GCLSTM
21,monte,IT-STGCN,0.3,rand,4,12,linear,50,0.96918123960495,879.2772660255432,GCLSTM
