,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.8,rand,8,12,linear,50,1.6139075756072998,5850.612842082977,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.4098060131072998,44805.274883031845,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.8711754083633425,4638.064921379089,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3727484941482544,41045.88577604294,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,2.2756121158599854,5044.467141389847,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3699517250061035,42974.310951948166,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.7219597101211548,4741.6036376953125,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3279385566711426,41796.730859041214,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.6603769063949585,4948.939351081848,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.4033775329589844,43816.48966598511,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.8904566764831543,4917.635713815689,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3130288124084473,43252.55962204933,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.778732180595398,4832.312334537506,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3792059421539309,45450.40405130386,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.8454667329788208,5092.323182582855,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3308382034301758,44607.788313150406,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.6307586431503296,5234.087948083878,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2803009748458862,47888.11994791031,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.691666841506958,4995.4120082855225,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3306158781051636,42283.953013420105,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.8830070495605469,4991.244359254837,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2394756078720093,41141.68407320976,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.6726994514465332,4789.627183437347,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3446673154830933,43601.192595243454,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.8545719385147093,5130.055001974106,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3173969984054563,42515.86574411392,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.812960505485535,4794.33829498291,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2484551668167114,43213.32126402855,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.728043794631958,4953.583545207977,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2919869422912598,40810.56201434136,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.774977684020996,5243.172651052475,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3003480434417725,47425.96359348297,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.8302273750305176,5058.461520195007,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.3056474924087524,41700.44724774361,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.7371708154678345,4949.862272977829,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2547781467437744,43248.99225330353,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.9449450969696045,6567.809039592743,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.334967851638794,55905.1437869072,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.7257109880447388,6617.528953075409,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2763853073120115,55546.2964463234,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.7863749265670776,6261.001370668411,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2515367269515991,54392.8851788044,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.6611616611480713,7169.5413377285,GConvGRU,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.24815034866333,58563.06746172905,GConvGRU,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.7965431213378906,5339.669386148453,GConvGRU,windmillsmall
