,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.8,rand,8,16,linear,50,1.5957995653152466,6454.40900683403,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.278237223625183,36343.23619031906,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.8371790647506716,10258.31203699112,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2039912939071655,33085.19858670235,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.574257493019104,7001.997014284134,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2767417430877686,33421.92682433128,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.674890160560608,6174.248295068741,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2418475151062012,33382.15397334099,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.6038002967834473,6432.270637512207,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.249449610710144,32870.08955550194,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5852011442184448,7223.333765268326,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2201566696166992,32803.17901849747,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.7958385944366455,7028.228221178055,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2439886331558228,32207.25007748604,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.6350984573364258,7116.886063098908,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2495862245559692,31987.051187992096,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.7327362298965454,5711.506677627564,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.272072434425354,32734.780133247372,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.771992802619934,6300.708246707916,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2425585985183716,32310.4684677124,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.834699630737305,7047.857243776321,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2895220518112185,32666.12702178955,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5279123783111572,7063.311858415604,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2100001573562622,32575.29208946228,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.487436294555664,6876.247790813446,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2441552877426147,31931.88377189636,GConvLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.602464199066162,6713.617896318436,GConvLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2497793436050415,33372.591920137405,GConvLSTM,windmillsmall
