dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6782866716384888,2004.0672364234924
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1246472597122192,29746.71187067032
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6985764503479004,2325.288026332855
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1311308145523071,31414.79225230217
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6837151050567627,2590.8314714431763
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.113332748413086,31382.025150299072
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6622557640075684,2327.30278134346
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1419360637664795,39088.30778479576
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7359920740127563,3459.1591913700104
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1197677850723269,26921.07187700272
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.679986834526062,1517.0243389606476
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1212013959884644,23141.6409201622
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6060926914215088,2187.368062734604
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1250348091125488,30867.79200220108
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7928704023361206,2208.14417052269
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1280208826065063,30836.68194293976
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7249598503112793,2097.07212471962
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1172481775283811,30765.159846782684
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5996229648590088,2119.0288569927216
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1303880214691162,32902.64590191841
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7416023015975952,2116.1049115657806
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1320589780807495,34774.972291469574
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7616534233093262,2071.4430499076843
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1158257722854614,34125.92660117149
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.779015064239502,3825.072052955627
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1440637111663818,36954.11656451225
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7462681531906128,9005.601931095123
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1201444864273071,53791.07501935959
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5839320421218872,4526.690147399902
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1233417987823486,68272.41917848587
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7041215896606443,5482.072132349014
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.132487177848816,40977.18315887451
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7173722982406616,2019.3386325836184
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.126252293586731,31545.21996307373
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.705028414726257,2001.9397280216217
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.124163031578064,54969.95522856712
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7073806524276731,1965.0447704792025
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1361474990844729,31418.62951874733
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7968904972076416,1980.644001722336
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1201481819152832,55922.57634091377
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7034687995910645,2010.6704471111295
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.140361189842224,32008.44425916672
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7433795928955078,1991.779045820236
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.115657091140747,31609.83164191246
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6468290090560913,1990.9197599887848
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1183464527130127,32243.47083258629
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.8002482652664185,2140.7990548610687
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.138851523399353,31783.834530115128
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6941840648651123,1998.8647139072416
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1228052377700806,31898.627609968185
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7629817724227903,2000.028988838196
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.14061176776886,31952.2696518898
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4773917198181152,2012.420732021332
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1271036863327026,31964.303817272183
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.7304104566574097,2013.0747077465055
