dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6222718954086304,1718.0541729927063
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1421371698379517,31770.64964938164
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4106637239456177,1582.5203602313995
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.151239991188049,31526.61161828041
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.303476333618164,1560.641182899475
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.055859088897705,32032.07372522354
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3888881206512451,1577.4143092632294
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1156495809555054,31824.934450149536
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.161388874053955,1555.991043329239
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.145661473274231,31952.103532791138
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4319692850112915,1569.4697811603546
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1271202564239502,29133.55655527115
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.1718571186065674,1571.6234984397888
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.117359280586243,31072.259088277817
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.398071050643921,1746.2791562080383
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1432597637176514,31686.06530380249
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6380244493484497,1578.1669771671295
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1466472148895264,31444.91317391396
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2560046911239624,1562.015992641449
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1024750471115112,31440.745661973957
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.2451916933059692,1571.1266651153564
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1376405954360962,31410.215524196625
