method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,Unnamed: 0
STGCN,0.3,rand,4,2,linear,50,0.9898470640182496,229.9587202072144,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.979112148284912,208.74506759643555,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.0003739595413208,97.16670155525208,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.0069336891174316,213.02434611320496,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,1.013523817062378,412.7061631679535,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9656267166137696,389.684987783432,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.99530428647995,419.75278186798096,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,1.0016659498214722,349.01931524276733,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.959646701812744,232.6467089653015,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.972662091255188,155.2835373878479,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9730071425437928,160.44357061386108,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9932997822761536,238.5905921459198,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9695394039154052,306.7323274612427,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0001354217529297,416.5304479598999,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9689778089523317,282.8901090621948,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9952498078346252,443.8224604129791,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9694716334342957,157.80449175834656,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9764553904533386,92.88113260269164,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9762135744094848,259.43948459625244,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.013076663017273,226.81510829925537,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9877303242683412,238.70336866378784,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9519621729850768,473.9518423080444,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.974249303340912,267.18737983703613,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.984229564666748,449.4761264324188,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9747928380966188,96.04412388801576,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9727128148078918,223.76691102981567,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9761040210723876,230.89449882507324,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.96693354845047,159.7251217365265,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,1.02640700340271,343.82723689079285,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9649075865745544,362.99999380111694,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.988180696964264,429.6144397258759,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9872477054595948,360.4675850868225,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.98722106218338,219.853408575058,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9651628136634828,214.5533401966095,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.0048997402191162,202.3281257152557,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9849016070365906,193.79572916030884,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9634817838668824,397.6648938655853,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0064895153045654,298.5825273990631,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9863397479057312,456.4697194099426,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9931669235229492,257.0112397670746,LRGCN,
STGCN,0.3,rand,4,2,linear,50,1.0052106380462646,254.38933515548703,LRGCN,
STGCN,0.5,rand,4,2,linear,50,1.008801817893982,225.8532795906067,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9832444190979004,115.53562331199646,LRGCN,
STGCN,0.8,rand,4,2,linear,50,1.001089334487915,153.57863569259644,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,1.000643253326416,455.221905708313,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.027401566505432,274.0465316772461,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,1.0048182010650637,428.5770034790039,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.985069215297699,295.08572006225586,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9774562120437622,209.41536664962769,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9729023575782776,163.0792875289917,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9815394282341005,110.51095008850098,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9754236936569214,187.831310749054,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9669910669326782,366.1095879077912,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9684595465660096,316.80669951438904,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.980631411075592,352.2411117553711,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9826621413230896,327.85295486450195,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9824714064598083,202.89233589172363,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9719712138175964,140.39977550506592,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.005092740058899,139.15248250961304,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9790326356887816,215.56558179855347,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.976268470287323,315.75580763816833,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.992218255996704,337.8510408401489,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9753095507621764,328.36747217178345,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9733818173408508,364.9714643955231,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9969320297241212,193.78545713424683,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9823151230812072,113.20349979400636,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9677728414535522,156.3140149116516,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9772375226020812,213.51895546913147,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9603785276412964,299.0661962032318,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0042376518249512,385.33987760543823,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.973798930644989,281.0528128147125,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,1.0820505619049072,424.4200670719147,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9517638683319092,133.87565088272095,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9980427026748656,150.16676568984985,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9805155396461488,212.73258304595947,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9917899966239928,190.34559154510495,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9584228992462158,298.19966983795166,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9752952456474304,379.5467832088471,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,1.0628139972686768,282.0886549949646,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9994337558746338,260.9681048393249,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9744614958763124,222.080326795578,LRGCN,
