,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,monteGConvGRU,STGCN,0.3,rand,4,12,linear,50,0.9798346757888794,496.3458805084229,GConvGRU
1,monteGConvGRU,STGCN,0.5,rand,4,12,linear,50,1.154304027557373,492.93316555023193,GConvGRU
2,monteGConvGRU,STGCN,0.7,rand,4,12,linear,50,1.3922921419143677,378.0922305583954,GConvGRU
3,monteGConvGRU,STGCN,0.8,rand,4,12,linear,50,1.702906608581543,349.30197763442993,GConvGRU
4,monteGConvGRU,IT-STGCN,0.3,rand,4,12,linear,50,0.938102960586548,636.0846102237701,GConvGRU
5,monteGConvGRU,IT-STGCN,0.5,rand,4,12,linear,50,0.944402039051056,772.2050757408142,GConvGRU
6,monteGConvGRU,IT-STGCN,0.7,rand,4,12,linear,50,1.0097172260284424,1094.3710136413574,GConvGRU
7,monteGConvGRU,IT-STGCN,0.8,rand,4,12,linear,50,1.1117310523986816,1483.0691328048706,GConvGRU
8,monteGConvGRU,STGCN,0.3,rand,4,12,linear,50,0.9829128980636596,721.8117733001709,GConvGRU
9,monteGConvGRU,STGCN,0.5,rand,4,12,linear,50,1.114776849746704,650.1009476184845,GConvGRU
10,monteGConvGRU,STGCN,0.7,rand,4,12,linear,50,1.299569606781006,659.7170000076294,GConvGRU
11,monteGConvGRU,STGCN,0.8,rand,4,12,linear,50,1.5922143459320068,672.5058033466339,GConvGRU
12,monteGConvGRU,IT-STGCN,0.3,rand,4,12,linear,50,0.9444228410720824,798.1367259025574,GConvGRU
13,monteGConvGRU,IT-STGCN,0.5,rand,4,12,linear,50,0.9434863924980164,1235.2894639968872,GConvGRU
14,monteGConvGRU,IT-STGCN,0.7,rand,4,12,linear,50,1.0136439800262451,1121.1080660820007,GConvGRU
15,monteGConvGRU,IT-STGCN,0.8,rand,4,12,linear,50,1.121706247329712,1017.98042678833,GConvGRU
16,monteGConvGRU,STGCN,0.3,rand,4,12,linear,50,0.9851595163345336,1128.067493915558,GConvGRU
17,monteGConvGRU,STGCN,0.5,rand,4,12,linear,50,1.107028245925903,700.9688236713409,GConvGRU
18,monteGConvGRU,STGCN,0.7,rand,4,12,linear,50,1.3473972082138062,262.1792025566101,GConvGRU
19,monteGConvGRU,STGCN,0.8,rand,4,12,linear,50,1.5697420835494995,378.2768232822418,GConvGRU
20,monteGConvGRU,IT-STGCN,0.3,rand,4,12,linear,50,0.9353301525115968,508.2270479202271,GConvGRU
21,monteGConvGRU,IT-STGCN,0.5,rand,4,12,linear,50,0.9425281286239624,563.3904805183411,GConvGRU
22,monteGConvGRU,IT-STGCN,0.7,rand,4,12,linear,50,1.011764407157898,428.4993226528168,GConvGRU
23,monteGConvGRU,IT-STGCN,0.8,rand,4,12,linear,50,1.0839178562164309,407.7587811946869,GConvGRU
24,monteGConvGRU,STGCN,0.3,rand,4,12,linear,50,0.9888503551483154,404.0351479053497,GConvGRU
25,monteGConvGRU,STGCN,0.5,rand,4,12,linear,50,1.1223039627075195,342.7211048603058,GConvGRU
26,monteGConvGRU,STGCN,0.7,rand,4,12,linear,50,1.3379724025726318,291.5014190673828,GConvGRU
27,monteGConvGRU,STGCN,0.8,rand,4,12,linear,50,1.5490139722824097,461.3626084327698,GConvGRU
28,monteGConvGRU,IT-STGCN,0.3,rand,4,12,linear,50,0.935862958431244,574.4868083000183,GConvGRU
29,monteGConvGRU,IT-STGCN,0.5,rand,4,12,linear,50,0.9442110061645508,645.4766561985016,GConvGRU
30,monteGConvGRU,IT-STGCN,0.7,rand,4,12,linear,50,1.0114017724990845,638.3694291114807,GConvGRU
