method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
STGCN,0.0,,4,12,,50,1.1919411420822144,11.35807204246521,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.4809904098510742,11.16138768196106,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.397994875907898,10.97463870048523,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.7356857061386108,11.007538080215454,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.970558285713196,10.552639245986938,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2709025144577026,12.613054275512695,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.5500845909118652,14.19701051712036,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.3157964944839478,13.254138231277466,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.548904538154602,12.48952054977417,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.9677587747573853,12.777027606964111,GComvGRU
STGCN,0.0,,4,12,,50,1.1699079275131226,11.399245500564575,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.2570289373397827,11.36276626586914,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.6738011837005615,11.479487657546995,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.7445427179336548,10.96357011795044,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.786035418510437,10.731087923049929,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.1128044128417969,12.208430528640749,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.424626111984253,12.245133876800535,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.6323925256729126,11.44047737121582,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,2.0702245235443115,11.438464164733888,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.9159804582595823,11.148414373397827,GComvGRU
STGCN,0.0,,4,12,,50,1.226320743560791,9.644174814224243,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.5677094459533691,9.553281545639038,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.508089542388916,9.357220649719238,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.700509786605835,9.473577976226808,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.829619288444519,6.747341632843018,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.314035415649414,7.479506731033325,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.1205809116363523,8.275403499603271,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.274199604988098,7.704480886459351,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.5037016868591309,7.698636770248413,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.455394625663757,8.563410758972168,GComvGRU
STGCN,0.0,,4,12,,50,1.1388484239578247,6.520271301269531,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.5327110290527344,6.589129686355591,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.492561101913452,5.592846632003784,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.7952392101287842,5.337545394897461,GComvGRU
STGCN,0.8,rand,4,12,linear,50,2.260359048843384,5.3649115562438965,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2301112413406372,5.912549257278442,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.4735562801361084,5.766482353210449,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.4220335483551023,5.775677919387817,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.4393041133880615,5.775064706802368,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.6016647815704346,5.798328876495361,GComvGRU
STGCN,0.0,,4,12,,50,1.2944340705871582,5.204829216003418,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.930371642112732,5.209028482437134,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.3306732177734375,5.210792303085327,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.6394784450531006,5.211601257324219,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.720542311668396,5.268521547317505,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.3357034921646118,5.8140623569488525,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.7591540813446045,10.454701900482178,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.4019056558609009,14.061225652694702,GComvGRU
IT-STGCN,0.6,rand,4,12,linear,50,1.3723344802856443,13.185546875,GComvGRU
IT-STGCN,0.8,rand,4,12,linear,50,1.6534059047698977,11.729773998260498,GComvGRU
STGCN,0.0,,4,12,,50,1.2257119417190552,10.597424268722534,GComvGRU
STGCN,0.3,rand,4,12,linear,50,1.6405359506607056,10.446733236312866,GComvGRU
STGCN,0.5,rand,4,12,linear,50,1.5920170545578003,10.19047212600708,GComvGRU
STGCN,0.6,rand,4,12,linear,50,1.743992805480957,10.036011695861816,GComvGRU
STGCN,0.8,rand,4,12,linear,50,1.5257667303085327,10.1503005027771,GComvGRU
IT-STGCN,0.0,,4,12,,50,1.2278279066085815,12.056625843048096,GComvGRU
IT-STGCN,0.3,rand,4,12,linear,50,1.233686447143555,11.498793601989746,GComvGRU
IT-STGCN,0.5,rand,4,12,linear,50,1.3445295095443726,11.577749490737917,GComvGRU
