,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2857142857142857,block,4,12,linear,50,1.4208379983901978,11.05587124824524,GConvGRU,pedalme
1,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2859671115875244,20.033632278442383,GConvGRU,pedalme
2,STGCN,0.2857142857142857,block,4,12,linear,50,1.2716951370239258,7.136552810668945,GConvGRU,pedalme
3,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.3012278079986572,17.141825437545776,GConvGRU,pedalme
4,STGCN,0.2857142857142857,block,4,12,linear,50,1.4465031623840332,5.734719276428223,GConvGRU,pedalme
5,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2986866235733032,9.239995002746582,GConvGRU,pedalme
6,STGCN,0.2857142857142857,block,4,12,linear,50,1.406184196472168,5.6947102546691895,GConvGRU,pedalme
7,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.246061086654663,13.042537450790403,GConvGRU,pedalme
8,STGCN,0.2857142857142857,block,4,12,linear,50,1.45513117313385,5.796293258666992,GConvGRU,pedalme
9,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2333261966705322,10.233137607574465,GConvGRU,pedalme
10,STGCN,0.2857142857142857,block,4,12,linear,50,1.3444771766662598,6.381104469299316,GConvGRU,pedalme
11,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.3350571393966677,10.877806663513184,GConvGRU,pedalme
12,STGCN,0.2857142857142857,block,4,12,linear,50,1.2168598175048828,5.740516901016235,GConvGRU,pedalme
13,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.1958086490631104,12.147496461868286,GConvGRU,pedalme
14,STGCN,0.2857142857142857,block,4,12,linear,50,1.3039484024047852,6.178010940551758,GConvGRU,pedalme
15,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2351081371307373,11.158387660980225,GConvGRU,pedalme
16,STGCN,0.2857142857142857,block,4,12,linear,50,1.3979132175445557,5.93883490562439,GConvGRU,pedalme
17,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.3394001722335815,9.499109268188477,GConvGRU,pedalme
18,STGCN,0.2857142857142857,block,4,12,linear,50,1.386126160621643,5.785650253295898,GConvGRU,pedalme
19,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.183096408843994,10.380865335464478,GConvGRU,pedalme
20,STGCN,0.2857142857142857,block,4,12,linear,50,1.459636926651001,5.1354076862335205,GConvGRU,pedalme
21,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.224536418914795,7.754600286483765,GConvGRU,pedalme
22,STGCN,0.2857142857142857,block,4,12,linear,50,1.2452421188354492,6.45811939239502,GConvGRU,pedalme
23,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.259488582611084,12.519179105758669,GConvGRU,pedalme
24,STGCN,0.2857142857142857,block,4,12,linear,50,1.3283964395523071,6.390463352203369,GConvGRU,pedalme
25,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.3421591520309448,10.867790937423706,GConvGRU,pedalme
26,STGCN,0.2857142857142857,block,4,12,linear,50,1.3490376472473145,5.894040822982788,GConvGRU,pedalme
27,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2075601816177368,10.12794828414917,GConvGRU,pedalme
28,STGCN,0.2857142857142857,block,4,12,linear,50,1.454599142074585,5.807561874389648,GConvGRU,pedalme
29,IT-STGCN,0.2857142857142857,block,4,12,linear,50,1.2575026750564575,11.114707708358765,GConvGRU,pedalme
30,STGCN,0.2857142857142857,block,4,12,linear,50,1.196615219116211,5.906270265579224,GConvGRU,pedalme
