,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.3,rand,4,12,linear,50,1.4807778596878052,5.587879657745361,GConvGRU,pedalme
1,STGCN,0.5,rand,4,12,linear,50,1.515552282333374,5.899395227432251,GConvGRU,pedalme
2,STGCN,0.6,rand,4,12,linear,50,1.8661153316497805,6.4410400390625,GConvGRU,pedalme
3,STGCN,0.8,rand,4,12,linear,50,2.0119006633758545,6.393088817596436,GConvGRU,pedalme
4,IT-STGCN,0.3,rand,4,12,linear,50,1.4881199598312378,13.606473684310911,GConvGRU,pedalme
5,IT-STGCN,0.5,rand,4,12,linear,50,1.4735947847366333,10.41266655921936,GConvGRU,pedalme
6,IT-STGCN,0.6,rand,4,12,linear,50,1.2434570789337158,9.596947193145752,GConvGRU,pedalme
7,IT-STGCN,0.8,rand,4,12,linear,50,1.588896632194519,7.971801280975342,GConvGRU,pedalme
8,STGCN,0.3,rand,4,12,linear,50,1.6260192394256592,5.156341791152954,GConvGRU,pedalme
9,STGCN,0.5,rand,4,12,linear,50,1.5801889896392822,5.246561765670776,GConvGRU,pedalme
10,STGCN,0.6,rand,4,12,linear,50,1.91300368309021,9.54078984260559,GConvGRU,pedalme
11,STGCN,0.8,rand,4,12,linear,50,1.5680536031723022,8.054662704467773,GConvGRU,pedalme
12,IT-STGCN,0.3,rand,4,12,linear,50,1.3269164562225342,19.03548383712769,GConvGRU,pedalme
13,IT-STGCN,0.5,rand,4,12,linear,50,1.2000232934951782,19.16671776771545,GConvGRU,pedalme
14,IT-STGCN,0.6,rand,4,12,linear,50,1.282104730606079,14.60831618309021,GConvGRU,pedalme
15,IT-STGCN,0.8,rand,4,12,linear,50,1.8757569789886477,10.068608045578005,GConvGRU,pedalme
16,STGCN,0.3,rand,4,12,linear,50,1.1687891483306885,7.000566244125366,GConvGRU,pedalme
17,STGCN,0.5,rand,4,12,linear,50,2.1820003986358643,7.219610929489136,GConvGRU,pedalme
18,STGCN,0.6,rand,4,12,linear,50,1.6020458936691284,7.351569890975952,GConvGRU,pedalme
19,STGCN,0.8,rand,4,12,linear,50,1.5766477584838867,7.497861385345459,GConvGRU,pedalme
20,IT-STGCN,0.3,rand,4,12,linear,50,1.4453935623168943,17.879981517791748,GConvGRU,pedalme
21,IT-STGCN,0.5,rand,4,12,linear,50,1.6449439525604248,14.268948316574097,GConvGRU,pedalme
22,IT-STGCN,0.6,rand,4,12,linear,50,1.654669165611267,14.242037534713743,GConvGRU,pedalme
23,IT-STGCN,0.8,rand,4,12,linear,50,1.9582552909851076,12.591745376586914,GConvGRU,pedalme
24,STGCN,0.3,rand,4,12,linear,50,1.5339701175689695,10.901756763458252,GConvGRU,pedalme
25,STGCN,0.5,rand,4,12,linear,50,1.8510384559631348,5.390922784805298,GConvGRU,pedalme
26,STGCN,0.6,rand,4,12,linear,50,1.59990131855011,5.297298908233643,GConvGRU,pedalme
27,STGCN,0.8,rand,4,12,linear,50,1.6215356588363647,5.520357370376587,GConvGRU,pedalme
28,IT-STGCN,0.3,rand,4,12,linear,50,1.2792503833770752,7.65703821182251,GConvGRU,pedalme
29,IT-STGCN,0.5,rand,4,12,linear,50,1.300017476081848,7.552212715148926,GConvGRU,pedalme
30,IT-STGCN,0.6,rand,4,12,linear,50,1.5857768058776855,7.842496633529663,GConvGRU,pedalme
31,IT-STGCN,0.8,rand,4,12,linear,50,1.825982928276062,7.599293231964111,GConvGRU,pedalme
32,STGCN,0.3,rand,4,12,linear,50,1.4173990488052368,5.172764539718628,GConvGRU,pedalme
33,STGCN,0.5,rand,4,12,linear,50,1.612079381942749,5.196194410324097,GConvGRU,pedalme
34,STGCN,0.6,rand,4,12,linear,50,1.5944145917892456,6.652533769607544,GConvGRU,pedalme
35,STGCN,0.8,rand,4,12,linear,50,1.900550484657288,8.669452905654907,GConvGRU,pedalme
36,IT-STGCN,0.3,rand,4,12,linear,50,1.3177090883255005,10.419334173202516,GConvGRU,pedalme
37,IT-STGCN,0.5,rand,4,12,linear,50,2.132460355758667,10.607827186584473,GConvGRU,pedalme
38,IT-STGCN,0.6,rand,4,12,linear,50,2.039867877960205,9.858047008514404,GConvGRU,pedalme
