,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.015132188796997,5872.626731395721,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.983199656009674,40938.51360988617,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0187479257583618,2150.8994710445404,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9823070168495178,36381.586228609085,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0109572410583496,6435.825519323349,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9835588335990906,62676.66282868385,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0125811100006104,7425.412776708603,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.981820583343506,62219.89437413216,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0173499584197998,6669.152256011963,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.983307957649231,60186.35041499138,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0159001350402832,4801.904518842697,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9816239476203918,51498.64624428749,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.014161229133606,4805.188709259033,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9808992743492126,59934.17529582977,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0116941928863523,10119.897711992264,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9832058548927308,63929.206933021545,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0149643421173096,10755.02436542511,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9806241989135742,61587.61476802826,EvolveGCNO
0,windmillsmallEvolveGCNO,STGCN,0.2861435009657343,block,8,4,linear,50,1.0126196146011353,4768.339679479599,EvolveGCNO
1,windmillsmallEvolveGCNO,IT-STGCN,0.2861435009657343,block,8,4,linear,50,0.9816890358924866,61682.468266010284,EvolveGCNO
