,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.98947674036026,6534.969158172607,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9809299111366272,38887.50542855263,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.9921742081642152,6759.530338048935,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9823877811431884,38134.91934275627,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.9969601631164552,8189.605201244354,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9826436638832092,45331.62435460091,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,1.0132304430007937,5711.479210138321,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9824725389480592,41699.035056352615,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.98445725440979,6957.7460741996765,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9811620712280272,58141.2659175396,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.991826593875885,12223.78584766388,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9820603132247924,55264.18671107292,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.9906816482543944,8812.933979988098,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9825214743614196,54747.220928668976,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,1.0041853189468384,7348.695597171783,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.980911910533905,56229.17444419861,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.9847216606140136,7324.712394237518,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981012523174286,63497.78578329086,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.9822333455085754,8089.4396295547485,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981242537498474,59828.57650566101,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.9816109538078308,6722.280932188034,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9826245307922364,76131.89136981964,GConvLSTM
0,sindmillsmallGConvLSTM,STGCN,0.2861435009657343,block,8,12,linear,50,0.9896480441093444,8136.211951255798,GConvLSTM
1,sindmillsmallGConvLSTM,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.988222599029541,64656.85732388496,GConvLSTM
