,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9977208971977234,7146.531769990921,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9818236231803894,38194.03472995758,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,1.0038470029830933,7058.782982826233,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9867464303970336,34833.106424331665,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9920565485954284,5828.854936361313,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9841119050979614,38065.373891592026,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9838881492614746,6431.744464874268,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9823933839797974,39968.86625933647,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9872584939002992,7701.762022733688,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9833006262779236,44581.25656104088,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9884657859802246,5883.292367935181,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9878647327423096,45720.46364617348,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9864990711212158,9893.006293535233,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9847174286842346,69863.92296004295,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9872134923934937,15018.266591787338,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9848892092704772,54757.116810798645,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9903841614723206,11802.737877845764,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9822471737861632,79064.77355313301,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.9954553842544556,14279.77454519272,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9851155281066896,87962.05892300606,TGCN
0,sindmillsmallTGCN,STGCN,0.2861435009657343,block,8,12,linear,50,0.997383177280426,15320.239378213882,TGCN
1,sindmillsmallTGCN,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9840166568756104,79312.69847464561,TGCN
