dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4489281177520752,1060.370625257492
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.127468466758728,28020.26357650757
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3939327001571655,956.138775587082
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.135913610458374,27619.696044921875
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.454331398010254,935.6425364017488
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1717298030853271,27479.474784612656
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.545478105545044,929.6501665115356
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1268317699432373,28690.19397544861
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5080187320709229,931.091112613678
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1744170188903809,27672.76780056953
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4216763973236084,928.2551186084748
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1715222597122192,27534.444800138477
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5668867826461792,939.4933547973632
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1648703813552856,24096.04492902756
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.6548397541046145,866.4139559268951
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1584466695785522,21484.05594563484
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.457660675048828,831.8678827285767
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1681915521621704,21519.105924367905
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.263530731201172,851.2989449501038
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1150985956192017,24310.096573352814
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.71397864818573,1006.715662240982
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1568340063095093,28799.808652162552
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4178979396820068,988.9707581996918
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.167228102684021,28875.01905703545
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3923139572143557,883.4679734706879
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1256945133209229,29098.235130786896
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.698510766029358,993.5227947235109
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1152082681655884,28600.032827615734
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4700849056243896,985.686589717865
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1604266166687012,29413.34669804573
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4266167879104614,987.555314540863
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1284624338150024,28433.74262428284
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.3397424221038818,972.4247460365297
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1582497358322144,28920.55722975731
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.753136157989502,988.4842522144318
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.0857272148132324,24714.87920331955
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4136061668395996,905.305341720581
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.2110050916671753,23992.338591575623
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4199591875076294,950.7491688728333
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.155286431312561,29237.951882839203
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4534425735473633,950.0076842308044
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.14423668384552,29309.231957912445
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5800867080688477,965.1871762275696
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1211519241333008,28981.234090328217
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.5973910093307495,956.9235754013062
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.13097882270813,28687.4519906044
windmillsmall,STGCN,0.7,rand,8,12,linear,50,1.4033783674240112,947.875058889389
windmillsmall,IT-STGCN,0.7,rand,8,12,linear,50,1.1234668493270874,29463.601145029068
