,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
3,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.675155520439148,6.7455830574035645,GConvGRU
7,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.3182913064956665,21.167232036590576,GConvGRU
11,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.8046644926071167,9.380597352981567,GConvGRU
15,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.2496232986450195,27.512192249298096,GConvGRU
19,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.5344127416610718,9.880192995071411,GConvGRU
23,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.4110984802246094,35.08718204498291,GConvGRU
27,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6092151403427124,9.799590587615969,GConvGRU
31,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.5317978858947754,18.58735394477844,GConvGRU
35,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.5774585008621216,6.401815414428711,GConvGRU
39,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.2584428787231443,11.46678614616394,GConvGRU
43,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.003942012786865,6.786237716674805,GConvGRU
47,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.0242722034454346,11.06841516494751,GConvGRU
51,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.806715726852417,6.2282395362854,GConvGRU
55,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.3500906229019165,11.846540927886965,GConvGRU
59,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6681783199310305,5.762483835220337,GConvGRU
63,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.5610557794570925,30.39900708198548,GConvGRU
67,pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.9037785530090328,10.334615468978882,GConvGRU
71,pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.4325114488601685,21.412144660949707,GConvGRU
