,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7293742895126343,80.98522114753723,GConvGRU
1,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7290817499160767,80.89178800582886,GConvGRU
6,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7315995693206787,114.49259185791016,GConvGRU
7,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7350261211395264,115.54427361488342,GConvGRU
12,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.727182149887085,102.7831404209137,GConvGRU
13,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7307438850402832,108.35871863365172,GConvGRU
18,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7320267558097839,118.01663970947266,GConvGRU
19,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7336909174919128,118.24288010597228,GConvGRU
24,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7305824756622314,101.38800072669984,GConvGRU
25,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7271746397018433,107.85377955436708,GConvGRU
30,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7374117374420166,132.1365385055542,GConvGRU
31,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7277122139930725,113.0942406654358,GConvGRU
36,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.732612669467926,113.93584537506104,GConvGRU
37,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7240287065505981,118.67152404785156,GConvGRU
42,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7358532547950745,136.57059836387634,GConvGRU
43,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7324591279029846,144.08376812934875,GConvGRU
48,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7349842190742493,114.51055812835692,GConvGRU
49,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7341195940971375,119.13274359703064,GConvGRU
54,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.731501042842865,137.02446913719177,GConvGRU
55,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7298939228057861,143.29943656921387,GConvGRU
60,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7339272499084473,121.92175149917604,GConvGRU
61,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7365766763687134,114.39069414138794,GConvGRU
66,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7328912615776062,135.65838861465454,GConvGRU
67,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7330715656280518,142.3443570137024,GConvGRU
72,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7436233758926392,115.22082710266112,GConvGRU
73,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7247539758682251,115.54197812080383,GConvGRU
78,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7319719195365906,134.3616828918457,GConvGRU
79,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7320564389228821,135.20711970329285,GConvGRU
84,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7395907640457153,121.4239423274994,GConvGRU
85,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7307541966438293,114.9417369365692,GConvGRU
90,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7302781343460083,137.4882001876831,GConvGRU
91,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7389403581619263,132.0236361026764,GConvGRU
96,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7370319366455078,115.82303714752196,GConvGRU
97,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.728310227394104,117.76325511932372,GConvGRU
102,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7382943630218506,141.04924774169922,GConvGRU
103,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7345879077911377,138.65048384666443,GConvGRU
108,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7346240878105164,117.124183177948,GConvGRU
109,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7364428043365479,114.24184679985046,GConvGRU
114,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7411003112792969,136.758047580719,GConvGRU
115,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7362907528877258,137.72701001167297,GConvGRU
120,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7371894121170044,112.39139914512634,GConvGRU
121,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7241353988647461,118.57026648521423,GConvGRU
126,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7329965829849243,138.56456685066223,GConvGRU
127,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7246946096420288,142.30435419082642,GConvGRU
132,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7339619398117065,115.37871479988098,GConvGRU
133,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7231758832931519,111.74161076545715,GConvGRU
138,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7373496294021606,131.06325507164,GConvGRU
139,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7231141924858093,137.36049580574036,GConvGRU
144,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7251313924789429,121.2271625995636,GConvGRU
145,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7404829263687134,119.27581477165222,GConvGRU
150,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7257884740829468,135.33014798164368,GConvGRU
151,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7319048643112183,138.47193717956543,GConvGRU
156,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7331470251083374,117.99471020698547,GConvGRU
157,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7311055660247803,116.51746463775636,GConvGRU
162,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7275944352149963,135.9076759815216,GConvGRU
163,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7290008068084717,133.68491888046265,GConvGRU
168,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7354721426963806,113.7579469680786,GConvGRU
169,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7294568419456482,119.03768014907835,GConvGRU
174,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7260799407958984,141.59088563919067,GConvGRU
175,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7274993658065796,144.37274312973022,GConvGRU
180,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7321842908859253,115.31246614456175,GConvGRU
181,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7313078045845032,114.46521639823914,GConvGRU
186,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7334505915641785,137.29283475875854,GConvGRU
187,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7368687987327576,142.15740442276,GConvGRU
192,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7380110025405884,114.18351793289185,GConvGRU
193,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7195584774017334,117.16115283966064,GConvGRU
198,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7351554036140442,142.61603617668152,GConvGRU
199,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7273588180541992,135.14889097213745,GConvGRU
204,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7251812815666199,115.26871418952942,GConvGRU
205,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7313116192817688,112.94118309020996,GConvGRU
210,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7331045269966125,132.1457498073578,GConvGRU
211,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7369548678398132,132.40560579299927,GConvGRU
216,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7286431789398193,117.45335602760316,GConvGRU
217,fivenodes,STGCN,0.0,,2,12.0,,50.0,0.7334668636322021,119.943119764328,GConvGRU
222,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.7362338900566101,137.51096272468567,GConvGRU
223,fivenodes,IT-STGCN,0.0,,2,12.0,,50.0,0.733587920665741,134.7251193523407,GConvGRU
