,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataet
0,STGCN,0.5,rand,8,4,linear,50,1.2399966716766355,1238.2414288520813,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.992197573184967,17015.033931970596,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.2560986280441284,1218.0330755710602,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9937657117843628,17012.765063524246,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.1031389236450195,1251.323912858963,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9942516684532166,26413.555510044094,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3670284748077393,1426.347041606903,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9919033646583556,25597.326971292496,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.27428936958313,1811.2803955078125,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9953230619430542,25818.440601825718,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3620115518569946,1564.615602016449,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9954735040664672,33555.67514157295,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.190941572189331,1967.6887414455412,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9902935028076172,34279.38704919815,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.4019463062286377,1997.569797515869,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9945690631866456,37187.60891127586,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.2738715410232544,2482.401866912842,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9945234656333924,32251.422464847565,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.2285934686660769,1729.0934040546415,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.993245542049408,32085.240617513657,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3263472318649292,1871.7752306461332,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9903236627578736,36054.38350558281,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.204958438873291,1817.0785763263705,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.997285783290863,38290.7772204876,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3268694877624512,2016.0367171764372,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9910330772399902,34128.732939720154,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.341655969619751,2207.158138751984,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9980600476264954,29880.189261198044,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.2156563997268677,1707.25031208992,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9939244389533995,29150.751179933548,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.361675500869751,1483.2843434810638,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9904122352600098,31623.706718444824,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.229195475578308,1929.398216724396,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9922119975090028,51504.66762757301,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.1118510961532593,2293.263282060623,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9942850470542908,47183.35358810425,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3785362243652344,1869.3416192531583,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.996621310710907,43620.31069087982,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3370773792266846,1928.206463098526,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.995546281337738,42158.4007191658,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.2528990507125854,1953.5879805088043,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9922370910644532,46822.953540802,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3733580112457275,1973.380935192108,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.997420370578766,38736.68924093247,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.125359058380127,1663.8267741203308,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,1.0006039142608645,29366.8964715004,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.238411545753479,1504.7493965625763,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9939703941345216,28463.98128437996,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3285349607467651,1513.7107849121094,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.995200216770172,28909.439660787582,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.157448172569275,1606.230182170868,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.993824064731598,44458.57871747017,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.3533161878585815,1870.6519911289213,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9960887432098388,39916.838733673096,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.174897074699402,1699.06019115448,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9934135675430298,37507.45841908455,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.2518739700317385,1806.74174618721,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9976733922958374,40378.67198586464,DCRNN,windmill
0,STGCN,0.5,rand,8,4,linear,50,1.2219388484954834,2002.2905929088597,DCRNN,windmill
1,IT-STGCN,0.5,rand,8,4,linear,50,0.9936766624450684,37449.5505707264,DCRNN,windmill
