,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.5,rand,8,12,linear,50,1.399403095245361,1287.1290290355682,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9951847791671752,29379.10945725441,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3641595840454102,2173.1896212100983,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9904187321662904,28916.70241260529,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3895554542541504,2051.9296350479126,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9952396750450134,29975.61501455307,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3571900129318235,2952.702300548553,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9903712868690492,35552.5207464695,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.357729196548462,1792.2623426914215,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.995581865310669,29117.56831073761,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3598979711532593,2105.5825448036194,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9959813952445984,29467.09040904045,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3687095642089844,2130.9649746418,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.991050899028778,36747.89595007896,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3341063261032104,2933.31396150589,DyGrEncoder,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9986417889595032,36430.33993029594,DyGrEncoder,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.4126485586166382,2965.455756425857,DyGrEncoder,windmillsmall
