,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.5,rand,8,12,linear,50,1.1864453554153442,133767.05371832848,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9992238879203796,179835.51774549484,EvolveGCNH,windmillsmall
2,STGCN,0.5,rand,8,12,linear,50,1.2128955125808716,13894.671447753906,EvolveGCNH,windmillsmall
3,IT-STGCN,0.5,rand,8,12,linear,50,0.9889107346534728,84118.06317424774,EvolveGCNH,windmillsmall
4,STGCN,0.5,rand,8,12,linear,50,1.2158690690994265,29849.414428710938,EvolveGCNH,windmillsmall
5,IT-STGCN,0.5,rand,8,12,linear,50,1.0042610168457031,185627.01037740707,EvolveGCNH,windmillsmall
6,STGCN,0.5,rand,8,12,linear,50,1.1996530294418335,45314.09069728851,EvolveGCNH,windmillsmall
7,IT-STGCN,0.5,rand,8,12,linear,50,1.0055676698684692,150633.39748454094,EvolveGCNH,windmillsmall
8,STGCN,0.5,rand,8,12,linear,50,1.264251470565796,36118.83916378021,EvolveGCNH,windmillsmall
9,IT-STGCN,0.5,rand,8,12,linear,50,0.9991883039474488,176238.21925520897,EvolveGCNH,windmillsmall
10,STGCN,0.5,rand,8,12,linear,50,1.155326247215271,39695.61387062073,EvolveGCNH,windmillsmall
11,IT-STGCN,0.5,rand,8,12,linear,50,0.9934322834014891,165263.88799524307,EvolveGCNH,windmillsmall
12,STGCN,0.5,rand,8,12,linear,50,1.2144579887390137,61747.262808561325,EvolveGCNH,windmillsmall
13,IT-STGCN,0.5,rand,8,12,linear,50,0.9909746646881104,169566.83029437065,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1157890558242798,1658.7058939933777,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0112684965133667,28807.489869356155,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1821001768112185,1561.524775981903,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0039286613464355,29522.67473435402,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.285855770111084,1414.386172771454,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.002543807029724,28982.10306930542,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2030261754989624,1563.6567113399506,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9990504384040833,28777.71590089798,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2103638648986816,1689.8806874752045,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0035336017608645,39919.97525978088,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.261372208595276,1672.5506191253662,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9928998351097108,38399.760946035385,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2338144779205322,1583.0870289802551,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.99759441614151,40544.48841834068,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1540522575378418,1774.125720024109,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0015159845352173,50576.18384194374,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.22391676902771,1637.925570487976,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0146331787109375,49382.66306781769,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.175851821899414,1562.1837196350098,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.008120894432068,51696.79532980919,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2993767261505127,1599.7844021320343,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9996500611305236,50260.378930568695,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.27812397480011,1635.99836063385,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9973453283309937,55040.25704908371,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2242627143859863,1550.8202505111694,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.006236553192139,58479.70351552963,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2167099714279177,1615.2781267166138,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9919511079788208,58232.58363890648,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.189332365989685,1634.4978697299955,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.003616452217102,67080.7460577488,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2307990789413452,1653.151033163071,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9960017204284668,67162.81581282616,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2246946096420288,1702.471544265747,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0006591081619265,67635.49147439003,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2056596279144287,1620.4085116386414,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9997020959854126,69205.2055542469,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.248305082321167,1657.3878030776978,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0008251667022705,66863.99332880974,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2053879499435425,1632.5046982765198,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9962109923362732,67229.22780251503,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2547909021377563,1635.022704124451,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.997187077999115,65848.28962445259,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1859016418457031,1622.005500793457,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0030834674835205,58141.711628198624,EvolveGCNH,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1904305219650269,1594.1274762153623,EvolveGCNH,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.998047649860382,52290.13588929176,EvolveGCNH,windmillsmall
