,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.5,rand,8,12,linear,50,1.2800205945968628,5720.976927042007,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9934074878692628,60688.93652272224,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1986901760101318,9180.85047531128,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.003253936767578,44768.08759570122,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.313360333442688,3710.9476339817047,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9978317022323608,43292.21538066864,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2769221067428589,4473.073825836182,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.99325293302536,40192.979228019714,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.279680609703064,4009.1612010002136,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9921513199806212,42042.363380908966,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2503913640975952,3214.8825080394745,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.989303708076477,36332.06865000725,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2798130512237549,2477.4520869255066,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9934910535812378,29228.23108816147,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3098522424697876,2985.522759437561,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9981039762496948,27178.67741751671,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1578463315963743,3297.45844912529,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9939901828765868,28547.46185898781,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3512043952941897,3956.866841077805,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9943006038665771,53262.76974606514,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3005739450454712,3454.259304046631,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9892334342002868,41245.845115184784,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.287890076637268,3210.7597234249115,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9953596591949464,39157.12863063812,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.247756838798523,3677.883186340332,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.996562957763672,41005.4773414135,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3300166130065918,3345.2548756599426,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9926133751869202,37521.13274383545,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2788869142532349,3780.2682201862335,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0007251501083374,41151.19348502159,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.272362470626831,3379.609065055847,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.005480170249939,39378.58846974373,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.120339035987854,3933.973947763443,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9875155091285706,39321.85826086998,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.33684241771698,3936.895059108734,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9983394145965576,35006.172204732895,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.259142518043518,3914.960664510727,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.003739833831787,39689.11047434807,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2682958841323853,4129.706874132156,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9896488189697266,42892.30722260475,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3068491220474243,3792.4964377880096,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9929343461990356,39322.14548277855,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.270042061805725,3407.8369431495667,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9947928786277772,36810.231420755386,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.315168857574463,3305.651068925857,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0007269382476809,42797.9983625412,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.312671780586243,4556.09840464592,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9921948313713074,37974.78792786598,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1431009769439695,4263.808061599731,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9997837543487548,36217.0445959568,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.273819923400879,5524.576373577118,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.994813084602356,35610.3994781971,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2608425617218018,3038.367722272873,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.988942801952362,40544.18340420723,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.22316312789917,3668.265711069107,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.993404507637024,40712.52551102638,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2999699115753174,3662.93900847435,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9980382919311525,46383.29227614403,EvolveGCNO,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3397727012634275,3528.7685546875,EvolveGCNO,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0135327577590942,38453.34016776085,EvolveGCNO,windmillsmall
