,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.8,rand,8,16,linear,50,1.6388694047927856,1765.3670809268951,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2071919441223145,28948.87904548645,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5052969455718994,2160.187914848328,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1574046611785889,29346.191002607346,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.468031406402588,2098.943995475769,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1613487005233765,29039.60886144638,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5725336074829102,1985.512330532074,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1826064586639404,29839.93467760086,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.4750990867614746,1944.548727273941,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2005469799041748,29149.407108306885,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5582823753356934,2081.7122535705566,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1827528476715088,28951.598490953445,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.76470148563385,2194.833863258362,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2264317274093628,29232.93722891808,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.6354012489318848,2184.2329607009888,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2252637147903442,29533.51100039482,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.522368550300598,1849.6124453544617,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1801968812942505,29706.018114328384,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.4601982831954956,2201.8877251148224,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1878564357757568,29043.492424964905,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.4817266464233398,2159.1836352348328,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1832826137542725,29383.803198337555,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5794130563735962,2228.2364683151245,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1967674493789673,29887.4039144516,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5395065546035769,1543.2773745059967,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.220993995666504,28644.14620947838,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.7293145656585691,2148.916011095047,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.21848726272583,27986.46491909027,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.4543181657791138,1850.774881839752,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.141266107559204,27916.374680519104,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.6695646047592163,2056.377396583557,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2153816223144531,28428.530004262924,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.7908536195755005,1728.8513326644895,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1960020065307615,28496.17599844933,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5947703123092651,2005.637833595276,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1964294910430908,27744.80353069305,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.4996329545974731,1970.2631845474243,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1997617483139038,29529.757271766663,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.7471179962158203,2090.5281507968903,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.210513710975647,29698.797312021252,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.491227149963379,2117.652092695236,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2051146030426023,29383.39060807228,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.6190191507339478,1846.0562541484835,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2006587982177734,30920.20809483528,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.7227466106414795,2243.6992762088776,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2232712507247925,42716.48413419724,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.58752179145813,2097.281206846237,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.19232177734375,36873.669805049896,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.478782296180725,2266.1240499019623,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1854087114334106,45705.50081348419,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.5023047924041748,2109.3498499393463,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.189358472824097,49464.22027182579,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.4554016590118408,2111.48826789856,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1854197978973389,53455.91565012932,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.3737748861312866,2154.0174067020416,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.1935158967971802,65000.75253224373,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.4590810537338257,2090.4414706230164,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.210153102874756,67201.04360723495,GCLSTM,windmillsmall
0,STGCN,0.8,rand,8,16,linear,50,1.705233097076416,2114.442530632019,GCLSTM,windmillsmall
1,IT-STGCN,0.8,rand,8,16,linear,50,1.2316309213638306,66036.13287162781,GCLSTM,windmillsmall
