,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.5,rand,8,12,linear,50,1.3808683156967163,2774.798331260681,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.03528094291687,18107.208533763885,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.4596123695373535,3102.2637577056885,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0290321111679075,16598.206852912903,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.505266189575195,2908.825426340103,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0353459119796753,16245.198784589767,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.513113498687744,2770.3594477176666,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0204923152923584,17202.724588632584,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2931101322174072,1804.2599856853485,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9969578981399536,16565.12904191017,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.5134810209274292,3273.3606572151184,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0391544103622437,26771.53992652893,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3229707479476929,2376.621214866638,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.99624902009964,25959.580771446228,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.738090991973877,4034.619572639465,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.059234619140625,29312.164306879044,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2042003870010376,2991.019166707993,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9962762594223022,37057.60513424873,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.594393968582153,5028.965770483017,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0083627700805664,39463.46592903137,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2070300579071045,4563.097846031189,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9930307269096376,40532.26147913933,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.468520998954773,4715.916614770889,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0238583087921145,34654.541815042496,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3090983629226685,3837.111577272415,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9992058277130128,39836.57574605942,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.5651564598083496,4915.147161245346,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0192798376083374,41245.06528377533,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1875585317611694,4452.609777212143,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9970266222953796,37113.67233991623,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.5088117122650146,5182.47373008728,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0332096815109253,32931.76456785202,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.1582212448120115,3496.3012506961823,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0025898218154907,32675.29641866684,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.6210007667541504,6305.376310110092,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.026767015457153,55250.525856256485,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.5157742500305176,7008.283484220505,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.045074462890625,50188.14922404289,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.3646056652069092,5906.077064037323,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0256308317184448,47743.075556993484,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.6295292377471924,5552.659441947937,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0410503149032593,41565.26974487305,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.5007669925689695,5439.911009550095,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0209448337554932,47667.772876024246,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.397823452949524,5670.651454210281,GConvGRU,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0166003704071045,33486.32139754295,GConvGRU,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.44402277469635,4377.089546918869,GConvGRU,windmillsmall
