,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0460385084152222,6695.4760620594025,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.99864399433136,38749.56950163841,GConvGRU,windmillsmall
2,STGCN,0.2861435009657343,block,8,12,linear,50,1.006880283355713,6263.117374897003,GConvGRU,windmillsmall
3,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0232418775558472,34056.878814935684,GConvGRU,windmillsmall
4,STGCN,0.2861435009657343,block,8,12,linear,50,1.0082908868789673,6264.5688989162445,GConvGRU,windmillsmall
5,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0053701400756836,37616.03779149056,GConvGRU,windmillsmall
6,STGCN,0.2861435009657343,block,8,12,linear,50,1.0083990097045898,6301.618956804276,GConvGRU,windmillsmall
7,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.016239047050476,38620.8010635376,GConvGRU,windmillsmall
8,STGCN,0.2861435009657343,block,8,12,linear,50,1.011942982673645,5504.995939016342,GConvGRU,windmillsmall
9,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0060291290283203,44171.90703749657,GConvGRU,windmillsmall
10,STGCN,0.2861435009657343,block,8,12,linear,50,1.0107957124710083,5918.47300028801,GConvGRU,windmillsmall
11,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0118237733840942,42283.49554729462,GConvGRU,windmillsmall
12,STGCN,0.2861435009657343,block,8,12,linear,50,1.0111775398254397,6178.68811917305,GConvGRU,windmillsmall
13,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0262912511825562,54543.95184135437,GConvGRU,windmillsmall
14,STGCN,0.2861435009657343,block,8,12,linear,50,1.020792841911316,10986.76433134079,GConvGRU,windmillsmall
15,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0024069547653198,59300.8805847168,GConvGRU,windmillsmall
16,STGCN,0.2861435009657343,block,8,12,linear,50,1.0120481252670288,7522.8462290763855,GConvGRU,windmillsmall
17,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0057867765426636,60274.30009651184,GConvGRU,windmillsmall
18,STGCN,0.2861435009657343,block,8,12,linear,50,1.01056170463562,5950.045270681381,GConvGRU,windmillsmall
19,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0141185522079468,47822.16801476479,GConvGRU,windmillsmall
20,STGCN,0.2861435009657343,block,8,12,linear,50,1.0443775653839111,5545.0644967556,GConvGRU,windmillsmall
21,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0217163562774658,62322.24009466171,GConvGRU,windmillsmall
22,STGCN,0.2861435009657343,block,8,12,linear,50,1.0200698375701904,6624.834922552109,GConvGRU,windmillsmall
23,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0028687715530396,58108.22736787796,GConvGRU,windmillsmall
24,STGCN,0.2861435009657343,block,8,12,linear,50,1.0144495964050293,6072.362341880798,GConvGRU,windmillsmall
25,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0119433403015137,67222.35635328293,GConvGRU,windmillsmall
26,STGCN,0.2861435009657343,block,8,12,linear,50,1.019160509109497,8816.317344903946,GConvGRU,windmillsmall
27,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0026978254318235,64487.22052550316,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0071969032287598,4410.887403964996,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.006873369216919,68981.31919813156,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0257266759872437,4339.618264198303,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0092321634292605,43834.60316467285,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.029068946838379,4849.210965633392,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0122931003570557,44879.65477943421,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0101066827774048,5180.1898992061615,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0075416564941406,53248.003799915314,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0147303342819214,5118.685601711273,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.010836839675903,56474.10070872307,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0088660717010498,4892.070288181305,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0104211568832395,46636.56340837479,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0202537775039673,5149.083615779877,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.011183500289917,47415.89436292648,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.003141164779663,4901.237711906433,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9977468848228456,47416.36510515213,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0159029960632324,4886.104526042938,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0180232524871826,46689.73021483421,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0016721487045288,5101.197105169296,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0052646398544312,46180.54369735718,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0181543827056885,5010.088181018829,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.007638454437256,47189.682084321976,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0129501819610596,4865.170979261398,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.011721134185791,47378.14087629318,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0107210874557495,5083.428298473358,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.001551628112793,39952.22798657417,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0131102800369265,5528.736476659775,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0170072317123413,39277.92504501343,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.0210429430007937,4897.698745965958,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.0097742080688477,26326.620470047,GConvGRU,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,1.027148723602295,4004.836044549942,GConvGRU,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,1.014664649963379,25199.251344680782,GConvGRU,windmillsmall
