,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.5,rand,8,16,linear,50,1.2830138206481934,3476.057447910309,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9935951232910156,20334.428532600403,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3252393007278442,4152.208847045898,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9986386895179749,20741.676931381226,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.2876595258712769,3829.066358566284,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9950804710388184,17702.7474296093,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3184560537338257,4377.204319238663,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9926195740699768,34329.467201948166,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3579583168029783,6785.776818990707,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9950168132781982,33324.17717671394,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3361945152282717,7186.022907972336,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.991417407989502,33596.69460630417,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3138997554779053,8261.675340175629,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9938331246376038,37881.343012571335,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.392125129699707,1975.7354340553284,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9974598288536072,28946.978392124176,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.31859290599823,6948.836620569229,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9982454776763916,34599.245431900024,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3991525173187256,1957.639161348343,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9966993927955629,34667.2621076107,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3096743822097778,9025.758317947388,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9962020516395568,38963.64881944656,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.301730394363403,1961.8968741893768,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9971656203269958,29929.75229501724,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3700828552246094,7220.1833074092865,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9958256483078004,37932.601737737656,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.372389316558838,2022.7794570922847,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,1.0015255212783811,33308.158143758774,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.2744511365890503,8294.857511520386,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,1.0016881227493286,36584.50649237633,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3461074829101562,8469.584139585495,GConvLSTM,windmillsmall
1,IT-STGCN,0.5,rand,8,16,linear,50,0.9941691160202026,42063.467052698135,GConvLSTM,windmillsmall
0,STGCN,0.5,rand,8,16,linear,50,1.3250190019607544,10151.42767572403,GConvLSTM,windmillsmall
