,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.98947674036026,6534.969158172607,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9809299111366272,38887.50542855263,GConvLSTM,windmillsmall
2,STGCN,0.2861435009657343,block,8,12,linear,50,0.9921742081642152,6759.530338048935,GConvLSTM,windmillsmall
3,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9823877811431884,38134.91934275627,GConvLSTM,windmillsmall
4,STGCN,0.2861435009657343,block,8,12,linear,50,0.9969601631164552,8189.605201244354,GConvLSTM,windmillsmall
5,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9826436638832092,45331.62435460091,GConvLSTM,windmillsmall
6,STGCN,0.2861435009657343,block,8,12,linear,50,1.0132304430007937,5711.479210138321,GConvLSTM,windmillsmall
7,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9824725389480592,41699.035056352615,GConvLSTM,windmillsmall
8,STGCN,0.2861435009657343,block,8,12,linear,50,0.98445725440979,6957.7460741996765,GConvLSTM,windmillsmall
9,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9811620712280272,58141.2659175396,GConvLSTM,windmillsmall
10,STGCN,0.2861435009657343,block,8,12,linear,50,0.991826593875885,12223.78584766388,GConvLSTM,windmillsmall
11,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9820603132247924,55264.18671107292,GConvLSTM,windmillsmall
12,STGCN,0.2861435009657343,block,8,12,linear,50,0.9906816482543944,8812.933979988098,GConvLSTM,windmillsmall
13,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9825214743614196,54747.220928668976,GConvLSTM,windmillsmall
14,STGCN,0.2861435009657343,block,8,12,linear,50,1.0041853189468384,7348.695597171783,GConvLSTM,windmillsmall
15,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.980911910533905,56229.17444419861,GConvLSTM,windmillsmall
16,STGCN,0.2861435009657343,block,8,12,linear,50,0.9847216606140136,7324.712394237518,GConvLSTM,windmillsmall
17,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981012523174286,63497.78578329086,GConvLSTM,windmillsmall
18,STGCN,0.2861435009657343,block,8,12,linear,50,0.9822333455085754,8089.4396295547485,GConvLSTM,windmillsmall
19,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981242537498474,59828.57650566101,GConvLSTM,windmillsmall
20,STGCN,0.2861435009657343,block,8,12,linear,50,0.9816109538078308,6722.280932188034,GConvLSTM,windmillsmall
21,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9826245307922364,76131.89136981964,GConvLSTM,windmillsmall
22,STGCN,0.2861435009657343,block,8,12,linear,50,0.9896480441093444,8136.211951255798,GConvLSTM,windmillsmall
23,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.988222599029541,64656.85732388496,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.988447904586792,4990.739518404007,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9850688576698304,25909.365094661716,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.99014151096344,3935.977357149124,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9823504686355592,25598.918493509293,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9892341494560242,4078.9098472595215,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9825826287269592,24782.166778087616,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9916200041770936,4366.516052246094,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9840391278266908,25724.16334843636,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9827227592468262,4453.185468435288,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9820786118507384,26201.68566513061,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9857701659202576,4105.321061849594,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9856797456741332,26265.938745498657,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9859439134597778,3993.013011455536,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9808326363563538,26181.091918230057,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9914642572402954,4415.737659931183,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9845523238182068,26365.171857118607,GConvLSTM,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9843943119049072,3874.859489440918,GConvLSTM,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9809205532073976,26593.17288351059,GConvLSTM,windmillsmall
