,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.8,rand,8,12,linear,50,1.345522165298462,2939.9666681289677,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.184877872467041,30792.40394616127,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.31360924243927,3103.7249743938446,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.185731291770935,30638.931735754013,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.2651252746582031,3161.8422813415527,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.220966935157776,30893.16751599312,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.293951153755188,3352.880558013916,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.171455144882202,30683.20071673393,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3498693704605105,3113.3661847114563,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1833672523498535,31135.4505712986,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.347765326499939,2817.189903974533,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1698150634765625,30303.4653403759,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3193624019622805,3298.7849373817444,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2326887845993042,30506.931829214096,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.434455156326294,3320.2380905151367,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1925488710403442,30214.03841304779,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.2905349731445312,3242.684468269348,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1561514139175415,30441.93301796913,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.444939136505127,3019.1865639686584,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1969815492630005,30637.122952461243,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3378496170043943,3165.416631937027,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1595730781555176,30585.85443353653,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3866491317749023,2938.217987060547,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1861062049865725,30956.42932844162,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3899859189987185,2954.5310592651367,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1770368814468384,30585.368821144104,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.409900188446045,3192.3916006088257,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1782499551773071,30190.75454378128,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4758542776107788,3298.765496969223,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1918402910232544,30300.781050682068,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4190500974655151,3239.910917520523,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2209664583206177,30533.80809378624,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3156780004501345,3143.4614157676697,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.210503101348877,30218.638380527496,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.445761799812317,3132.9814009666443,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2145307064056396,30757.800062417984,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3859559297561646,2820.2668273448944,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1930835247039795,30812.447800397877,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.489390254020691,3238.217935562134,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1973769664764404,30403.44361639023,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4613432884216309,3198.068156719208,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1912471055984497,30398.917883872982,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.6718684434890747,3318.985953092575,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1842081546783447,29926.01900267601,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3026137351989746,3307.957591056824,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.177364706993103,30341.30843305588,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3850692510604858,3367.824877977371,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1985973119735718,30500.08078598976,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.4477530717849731,2393.536257505417,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1965190172195437,31324.887737989426,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.564312219619751,3091.4279367923737,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1460251808166504,31503.0624024868,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.5321192741394043,3144.867757558822,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.1695164442062378,31302.6831510067,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.3007352352142334,3194.412842988968,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.203815221786499,31510.915889263157,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.415137529373169,3086.825955152512,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.207145929336548,31777.695543289185,LRGCN,windmillsmall
0,STGCN,0.8,rand,8,12,linear,50,1.2475736141204834,3278.9559020996094,LRGCN,windmillsmall
1,IT-STGCN,0.8,rand,8,12,linear,50,1.2123055458068848,46772.56542611122,LRGCN,windmillsmall
