,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9862108826637268,3208.003688812256,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9833229780197144,62941.33863091469,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.984346330165863,3252.0726590156555,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9814950227737428,68895.19832134247,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9838847517967224,3303.234291791916,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.98033607006073,69040.09385919571,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9880213737487792,3260.523665904999,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9824474453926086,55153.09344792366,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9941827654838562,2837.457450866699,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9820745587348938,50580.38765978813,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.991349995136261,3159.675774335861,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9815456867218018,51459.09065675736,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9901657104492188,3184.3742337226868,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9821343421936036,50492.6820127964,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9959666728973388,3233.307752609253,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9835227727890016,51313.80342745781,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.989523708820343,3180.804297685623,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9884681105613708,50016.37841558456,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.992927610874176,3224.0957322120667,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9825339317321776,50564.81783032417,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9878503680229188,3105.115607976913,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9831790328025818,47697.58025884628,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9848572015762328,2986.7421333789825,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9840871095657348,39232.56330657005,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9922415614128112,2811.3003857135773,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9834933876991272,37071.454454898834,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9969480633735656,2937.484452009201,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981895387172699,37976.56761288643,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9845699667930604,2979.622432947159,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.982454776763916,36620.77621507645,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9839428067207336,3060.859154224396,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9828189015388488,68187.48664903641,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9882564544677734,2977.143541097641,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9808394312858582,41796.85471320152,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9839124083518982,3158.158861875534,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.984395146369934,43858.08573055267,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9881353378295898,3092.597464799881,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9822476506233216,44353.76085090637,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9869925379753112,3307.396987438202,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9826520085334778,63578.397251844406,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9860532879829408,3391.4120573997498,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981148600578308,43618.19934749603,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9841431975364684,3281.5313625335693,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9832236766815186,44220.545845508575,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.985931396484375,3304.1201577186584,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9806268215179444,44293.35926318169,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9907442927360536,3120.2241599559784,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9824783205986024,45389.23914575577,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9848066568374634,3286.457859516144,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9807227849960328,45180.04732108116,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9927561283111572,3177.462352514267,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.985515594482422,44927.2661652565,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9899320006370544,3467.470558643341,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.981838881969452,45284.73466062546,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9921634197235109,3202.882392883301,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.98106187582016,45029.50801253319,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.988373339176178,3163.933806180954,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.980677366256714,38212.29561185837,LRGCN,windmillsmall
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9954045414924622,3344.389144182205,LRGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9821959137916564,36593.875109910965,LRGCN,windmillsmall
