,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.5,rand,8,12,linear,50,1.207957148551941,1737.788051366806,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9930565357208252,18099.902631282806,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2293741703033447,1965.4278857707975,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9927144050598145,19271.224696159363,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.199532151222229,5041.031347513199,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9912188649177552,26190.467259645466,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2146689891815186,3244.825722932816,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9986376166343688,27628.808653354645,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.163213849067688,3967.764449596405,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9930455684661864,33811.297744989395,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2530794143676758,6353.518177747726,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.992461919784546,37598.17617058754,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2832438945770264,6096.616837024689,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9950446486473083,43389.06605172157,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2519925832748413,7384.854846715927,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.001617670059204,34146.305530548096,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2251054048538208,4770.848026514053,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,1.0003480911254885,37758.228086709976,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2347835302352903,7780.490789175034,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9955974221229552,44469.237763404846,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2399402856826782,4980.015487194061,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9905381798744202,38516.80606102944,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2129020690917969,5967.819720029831,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.993995487689972,32641.8619222641,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2264984846115112,5402.604921579361,TGCN,windmillsmall
1,IT-STGCN,0.5,rand,8,12,linear,50,0.9964480400085448,33195.66854453087,TGCN,windmillsmall
0,STGCN,0.5,rand,8,12,linear,50,1.2946006059646606,4547.514759063721,TGCN,windmillsmall
