,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.2861435009657343,block,8,12,linear,50,0.9977208971977234,7146.531769990921,TGCN,windmillsmall
1,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9818236231803894,38194.03472995758,TGCN,windmillsmall
2,STGCN,0.2861435009657343,block,8,12,linear,50,1.0038470029830933,7058.782982826233,TGCN,windmillsmall
3,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9867464303970336,34833.106424331665,TGCN,windmillsmall
4,STGCN,0.2861435009657343,block,8,12,linear,50,0.9920565485954284,5828.854936361313,TGCN,windmillsmall
5,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9841119050979614,38065.373891592026,TGCN,windmillsmall
6,STGCN,0.2861435009657343,block,8,12,linear,50,0.9838881492614746,6431.744464874268,TGCN,windmillsmall
7,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9823933839797974,39968.86625933647,TGCN,windmillsmall
8,STGCN,0.2861435009657343,block,8,12,linear,50,0.9872584939002992,7701.762022733688,TGCN,windmillsmall
9,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9833006262779236,44581.25656104088,TGCN,windmillsmall
10,STGCN,0.2861435009657343,block,8,12,linear,50,0.9884657859802246,5883.292367935181,TGCN,windmillsmall
11,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9878647327423096,45720.46364617348,TGCN,windmillsmall
12,STGCN,0.2861435009657343,block,8,12,linear,50,0.9864990711212158,9893.006293535233,TGCN,windmillsmall
13,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9847174286842346,69863.92296004295,TGCN,windmillsmall
14,STGCN,0.2861435009657343,block,8,12,linear,50,0.9872134923934937,15018.266591787338,TGCN,windmillsmall
15,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9848892092704772,54757.116810798645,TGCN,windmillsmall
16,STGCN,0.2861435009657343,block,8,12,linear,50,0.9903841614723206,11802.737877845764,TGCN,windmillsmall
17,IT-STGCN,0.2861435009657343,block,8,12,linear,50,0.9822471737861632,79064.77355313301,TGCN,windmillsmall
