,dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
0,chickenpox,STGCN,0.8,rand,4,32,cubic,50,5.31781530380249,103.4279944896698,GConvLSTM
1,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.2355446815490723,201.87566542625427,GConvLSTM
2,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.258199691772461,172.53706097602844,GConvLSTM
3,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.3151038885116575,117.78267216682434,GConvLSTM
4,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.492476940155029,222.21044325828552,GConvLSTM
5,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.318302869796753,142.38339281082153,GConvLSTM
6,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.3829054832458496,122.68372750282288,GConvLSTM
7,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.4697954654693604,255.1026673316956,GConvLSTM
8,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.76667070388794,120.49911856651306,GConvLSTM
9,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.258852005004883,104.72191286087036,GConvLSTM
10,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.4413230419158936,256.9962763786316,GConvLSTM
11,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.434666633605957,135.00174260139465,GConvLSTM
12,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.985151767730713,138.4847753047943,GConvLSTM
13,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.3856592178344727,210.84071731567383,GConvLSTM
14,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.3198680877685547,136.04867696762085,GConvLSTM
15,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.402056097984314,191.0527551174164,GConvLSTM
16,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.9730987548828125,181.92806196212769,GConvLSTM
17,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.3317368030548096,109.46166729927064,GConvLSTM
18,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.1389477252960205,181.35365676879883,GConvLSTM
19,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.4966567754745483,207.4104359149933,GConvLSTM
20,chickenpox,STGCN,0.8,rand,4,32,cubic,50,5.477793216705322,106.45623636245728,GConvLSTM
21,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.4442732334136963,189.0594780445099,GConvLSTM
22,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.639093399047852,184.75525546073916,GConvLSTM
23,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.424849271774292,121.318519115448,GConvLSTM
24,chickenpox,STGCN,0.8,rand,4,32,cubic,50,5.3008880615234375,213.16645503044128,GConvLSTM
25,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.3502163887023926,172.63136649131775,GConvLSTM
26,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,1.9544129371643064,117.05394792556764,GConvLSTM
27,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.4742248058319092,235.69780921936035,GConvLSTM
28,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.556369304656982,144.66322374343872,GConvLSTM
29,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.2952327728271484,105.04414105415344,GConvLSTM
30,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.9413540363311768,234.4460089206696,GConvLSTM
31,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.3501042127609253,155.54710698127747,GConvLSTM
32,chickenpox,STGCN,0.8,rand,4,32,cubic,50,5.611685752868652,105.94922256469728,GConvLSTM
33,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.353280782699585,235.90530467033383,GConvLSTM
34,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.4291176795959477,149.2751214504242,GConvLSTM
35,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.3564342260360718,167.58963108062744,GConvLSTM
36,chickenpox,STGCN,0.8,rand,4,32,cubic,50,5.382199287414551,201.5852735042572,GConvLSTM
37,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.397148847579956,114.21385931968688,GConvLSTM
38,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.426010847091675,177.30541920661926,GConvLSTM
39,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.4709200859069824,206.57599449157715,GConvLSTM
40,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.983593463897705,109.23822808265686,GConvLSTM
41,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.2073276042938232,174.74372124671936,GConvLSTM
42,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.36985182762146,197.65755701065063,GConvLSTM
43,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.4037916660308838,119.47047162055968,GConvLSTM
44,chickenpox,STGCN,0.8,rand,4,32,cubic,50,5.351346015930176,195.6706817150116,GConvLSTM
45,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.3291170597076416,172.729918718338,GConvLSTM
46,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.083791732788086,118.04570960998537,GConvLSTM
47,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.6425830125808716,232.48164558410645,GConvLSTM
48,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.416447639465332,146.71885204315186,GConvLSTM
49,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.3505263328552246,105.32063364982604,GConvLSTM
50,chickenpox,IT-STGCN,0.8,rand,4,32,cubic,50,2.3527538776397705,246.00341892242432,GConvLSTM
51,chickenpox,IT-STGCN,0.8,rand,4,32,nearest,50,1.4593496322631836,143.42493557929993,GConvLSTM
52,chickenpox,STGCN,0.8,rand,4,32,cubic,50,4.613171577453613,106.61195659637453,GConvLSTM
53,chickenpox,STGCN,0.8,rand,4,32,nearest,50,2.2574944496154785,236.7288708686829,GConvLSTM
