dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.892261624336243,81.97654676437378,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.211288452148437,87.80386924743652,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.072817802429199,103.64874172210692,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.566474437713623,98.34009552001952,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2441970109939575,123.85583305358888,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.2361797094345093,128.3117196559906,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4280638694763184,116.14180421829224,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.1824556589126587,113.23016953468324,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.6996772289276123,99.00135731697084,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.1878445148468018,99.97200274467468,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.3331003189086914,98.85933089256288,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.611226320266724,109.18606376647948,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2676087617874146,114.73862075805664,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1840753555297852,112.78773975372314,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4244449138641355,113.6335470676422,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.2666149139404297,119.38633227348328,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.8682361841201784,114.07605075836182,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.3149030208587646,105.17128252983092,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.38904881477356,99.55422592163086,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.734868288040161,106.56598091125488,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1030831336975098,122.35967969894408,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0852394104003906,132.88437604904175,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3374898433685305,140.39959478378296,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.351335525512695,158.94476580619812,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.8164211511611936,115.28978037834167,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.299576997756958,118.28659462928772,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.235262155532837,122.47945952415466,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.643666982650757,122.2109670639038,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1596455574035645,141.34393286705017,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0957611799240112,149.0423300266266,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3015875816345217,147.7663221359253,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.2330349683761597,135.0909445285797,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.9312880039215088,119.68101501464844,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.150129556655884,129.91924047470093,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.349104166030884,119.17171335220335,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.742196559906006,115.9426851272583,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1957968473434448,135.26314163208008,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.21571683883667,135.47437644004822,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4039689302444458,137.56146383285522,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3668131828308103,136.4213798046112,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.877508759498596,114.22763442993164,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.336416721343994,113.7333598136902,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.517601490020752,116.79539251327516,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.4574265480041504,127.32244992256165,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1960399150848389,137.43869161605835,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0880028009414673,141.3916232585907,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.285711646080017,139.89287972450256,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.425040602684021,136.24650859832764,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.6144675016403198,120.67241382598876,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.3407602310180664,115.2974889278412,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.149268627166748,119.84525942802428,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.7601394653320312,115.85785245895386,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1471811532974243,136.44781160354614,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.2804269790649414,134.09751343727112,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.2762314081192017,135.66004633903503,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.4472712278366089,146.36461353302002,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.7659783363342283,115.49126410484314,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.4578752517700195,117.73663997650146,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.4424777030944824,116.26184582710266,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.637265205383301,118.2880563735962,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.307323336601257,136.13534355163574,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1340125799179075,144.95114254951477,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4090520143508911,142.30734395980835,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.350917100906372,135.51926827430725,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.7664084434509275,120.7411789894104,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.373718976974488,119.0023775100708,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.621901512145996,116.18968319892883,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.406052589416504,115.83572554588318,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2138928174972534,135.42740893363953,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1673029661178589,132.41609072685242,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.5671414136886597,134.26689648628235,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.2459418773651123,137.00703525543213,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,2.140289306640625,113.53394317626952,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.5353939533233643,115.3641185760498,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.1264376640319824,119.32651090621948,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.423976182937622,120.33493089675903,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.3010693788528442,135.51208591461182,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.171424388885498,141.27241230010986,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4064491987228394,140.7154941558838,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3870917558670044,140.00777316093445,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,2.0231738090515137,122.58387804031372,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.2922329902648926,113.86712074279784,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.2996954917907715,113.9656310081482,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.668074369430542,114.60337615013124,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.114077091217041,135.6059136390686,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.2035821676254272,139.6995403766632,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3224623203277588,143.13489079475403,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.287570595741272,141.51395201683044,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.821793556213379,111.75960111618042,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.362747430801392,113.89403438568117,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.4463307857513428,116.2588529586792,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.671903133392334,120.74809098243712,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2042993307113647,140.4799873828888,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.10484516620636,137.5797462463379,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.132123589515686,135.2447850704193,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3974716663360596,141.95898294448853,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,2.071399211883545,116.9558560848236,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.3554372787475586,115.61277508735655,GConvGRU
