dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.7782831192016602,5.4500792026519775,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4754265546798706,5.581201553344727,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,2.140820026397705,5.8117499351501465,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.7501096725463867,5.835119724273682,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3354957103729248,6.442671060562134,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.355944275856018,7.1134092807769775,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.3706207275390625,6.590523719787598,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.3811233043670654,6.398938179016113,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.6216669082641602,6.110504627227783,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.6540485620498655,6.506152629852295,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.5956255197525024,6.691925764083862,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,2.087160587310791,6.087480306625366,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.2777485847473145,6.800517082214356,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,0.952233612537384,6.342868089675903,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.8550010919570925,6.201188802719116,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.424408793449402,6.204913854598999,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.2171664237976074,6.228369474411011,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.4414660930633545,5.810458421707153,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.597097873687744,6.187670469284058,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.6127418279647827,6.317274332046509,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.1660363674163818,6.59284234046936,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,nearest,50.0,1.2502870559692385,7.472740888595581,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,linear,50.0,1.635585069656372,7.765584230422974,GConvGRU
pedalme,IT-STGCN,0.6,rand,4,12.0,nearest,50.0,1.387692928314209,7.723309993743896,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,linear,50.0,1.5017198324203491,6.858518600463867,GConvGRU
pedalme,STGCN,0.3,rand,4,12.0,nearest,50.0,1.3247134685516355,6.866869449615479,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,linear,50.0,1.7110096216201782,6.859104871749878,GConvGRU
pedalme,STGCN,0.6,rand,4,12.0,nearest,50.0,1.5868724584579468,6.852257966995239,GConvGRU
pedalme,IT-STGCN,0.3,rand,4,12.0,linear,50.0,1.3136714696884155,7.465393304824829,GConvGRU
