,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0,,4,12,,50,1.180340051651001,9.250998258590698,GComvGRU,pedalme
1,STGCN,0,,4,12,,50,1.3171995878219604,9.775060415267944,GComvGRU,pedalme
2,IT-STGCN,0,,4,12,,50,1.0856488943099976,12.268954038619995,GComvGRU,pedalme
3,IT-STGCN,0,,4,12,,50,1.374655842781067,11.110654830932615,GComvGRU,pedalme
4,STGCN,0,,4,12,,50,1.1393353939056396,9.76419448852539,GComvGRU,pedalme
5,STGCN,0,,4,12,,50,1.2901636362075806,10.1162109375,GComvGRU,pedalme
6,IT-STGCN,0,,4,12,,50,1.2499394416809082,11.364846467971802,GComvGRU,pedalme
7,IT-STGCN,0,,4,12,,50,1.1911263465881348,11.128414154052734,GComvGRU,pedalme
8,STGCN,0,,4,12,,50,1.1756962537765503,9.915412902832031,GComvGRU,pedalme
9,STGCN,0,,4,12,,50,1.1576921939849854,8.619412899017334,GComvGRU,pedalme
10,IT-STGCN,0,,4,12,,50,1.2682925462722778,9.681868076324465,GComvGRU,pedalme
11,IT-STGCN,0,,4,12,,50,1.1164692640304563,9.94275712966919,GComvGRU,pedalme
12,STGCN,0,,4,12,,50,1.139248609542847,7.962034940719604,GComvGRU,pedalme
13,STGCN,0,,4,12,,50,1.2802997827529907,7.628282308578491,GComvGRU,pedalme
14,IT-STGCN,0,,4,12,,50,1.3258825540542605,8.851240634918213,GComvGRU,pedalme
15,IT-STGCN,0,,4,12,,50,1.1572134494781494,7.583605766296387,GComvGRU,pedalme
16,STGCN,0,,4,12,,50,1.187915325164795,7.264222621917725,GComvGRU,pedalme
17,STGCN,0,,4,12,,50,1.1630231142044067,8.703111410140991,GComvGRU,pedalme
18,IT-STGCN,0,,4,12,,50,1.2507143020629885,10.680726528167725,GComvGRU,pedalme
19,IT-STGCN,0,,4,12,,50,1.1223238706588743,8.819632291793823,GComvGRU,pedalme
20,STGCN,0,,4,12,,50,1.2472959756851196,8.879799842834473,GComvGRU,pedalme
21,STGCN,0,,4,12,,50,1.3031723499298096,8.398100852966309,GComvGRU,pedalme
22,IT-STGCN,0,,4,12,,50,1.1570403575897217,10.185014963150024,GComvGRU,pedalme
23,IT-STGCN,0,,4,12,,50,1.1846567392349243,10.037606000900269,GComvGRU,pedalme
24,STGCN,0,,4,12,,50,1.1153444051742554,8.90462350845337,GComvGRU,pedalme
25,STGCN,0,,4,12,,50,1.1960272789001465,9.036283016204834,GComvGRU,pedalme
26,IT-STGCN,0,,4,12,,50,1.2924550771713257,9.94998836517334,GComvGRU,pedalme
27,IT-STGCN,0,,4,12,,50,1.2550641298294067,10.055251121520996,GComvGRU,pedalme
28,STGCN,0,,4,12,,50,1.2703312635421753,8.560201644897461,GComvGRU,pedalme
29,STGCN,0,,4,12,,50,1.1949867010116575,8.372639417648315,GComvGRU,pedalme
30,IT-STGCN,0,,4,12,,50,1.2574760913848877,10.129897832870483,GComvGRU,pedalme
31,IT-STGCN,0,,4,12,,50,1.2365164756774902,10.215011358261108,GComvGRU,pedalme
