,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.0,,4,12,,50,1.1919411420822144,11.35807204246521,GComvGRU,pedalme
1,STGCN,0.3,rand,4,12,linear,50,1.4809904098510742,11.16138768196106,GComvGRU,pedalme
2,STGCN,0.5,rand,4,12,linear,50,1.397994875907898,10.97463870048523,GComvGRU,pedalme
3,STGCN,0.6,rand,4,12,linear,50,1.7356857061386108,11.007538080215454,GComvGRU,pedalme
4,STGCN,0.8,rand,4,12,linear,50,1.970558285713196,10.552639245986938,GComvGRU,pedalme
5,IT-STGCN,0.0,,4,12,,50,1.2709025144577026,12.613054275512695,GComvGRU,pedalme
6,IT-STGCN,0.3,rand,4,12,linear,50,1.5500845909118652,14.19701051712036,GComvGRU,pedalme
7,IT-STGCN,0.5,rand,4,12,linear,50,1.3157964944839478,13.254138231277466,GComvGRU,pedalme
8,IT-STGCN,0.6,rand,4,12,linear,50,1.548904538154602,12.48952054977417,GComvGRU,pedalme
9,IT-STGCN,0.8,rand,4,12,linear,50,1.9677587747573853,12.777027606964111,GComvGRU,pedalme
10,STGCN,0.0,,4,12,,50,1.1699079275131226,11.399245500564575,GComvGRU,pedalme
11,STGCN,0.3,rand,4,12,linear,50,1.2570289373397827,11.36276626586914,GComvGRU,pedalme
12,STGCN,0.5,rand,4,12,linear,50,1.6738011837005615,11.479487657546995,GComvGRU,pedalme
13,STGCN,0.6,rand,4,12,linear,50,1.7445427179336548,10.96357011795044,GComvGRU,pedalme
14,STGCN,0.8,rand,4,12,linear,50,1.786035418510437,10.731087923049929,GComvGRU,pedalme
15,IT-STGCN,0.0,,4,12,,50,1.1128044128417969,12.208430528640749,GComvGRU,pedalme
16,IT-STGCN,0.3,rand,4,12,linear,50,1.424626111984253,12.245133876800535,GComvGRU,pedalme
17,IT-STGCN,0.5,rand,4,12,linear,50,1.6323925256729126,11.44047737121582,GComvGRU,pedalme
18,IT-STGCN,0.6,rand,4,12,linear,50,2.0702245235443115,11.438464164733888,GComvGRU,pedalme
19,IT-STGCN,0.8,rand,4,12,linear,50,1.9159804582595823,11.148414373397827,GComvGRU,pedalme
20,STGCN,0.0,,4,12,,50,1.226320743560791,9.644174814224243,GComvGRU,pedalme
21,STGCN,0.3,rand,4,12,linear,50,1.5677094459533691,9.553281545639038,GComvGRU,pedalme
22,STGCN,0.5,rand,4,12,linear,50,1.508089542388916,9.357220649719238,GComvGRU,pedalme
23,STGCN,0.6,rand,4,12,linear,50,1.700509786605835,9.473577976226808,GComvGRU,pedalme
24,STGCN,0.8,rand,4,12,linear,50,1.829619288444519,6.747341632843018,GComvGRU,pedalme
25,IT-STGCN,0.0,,4,12,,50,1.314035415649414,7.479506731033325,GComvGRU,pedalme
26,IT-STGCN,0.3,rand,4,12,linear,50,1.1205809116363523,8.275403499603271,GComvGRU,pedalme
27,IT-STGCN,0.5,rand,4,12,linear,50,1.274199604988098,7.704480886459351,GComvGRU,pedalme
28,IT-STGCN,0.6,rand,4,12,linear,50,1.5037016868591309,7.698636770248413,GComvGRU,pedalme
29,IT-STGCN,0.8,rand,4,12,linear,50,1.455394625663757,8.563410758972168,GComvGRU,pedalme
30,STGCN,0.0,,4,12,,50,1.1388484239578247,6.520271301269531,GComvGRU,pedalme
31,STGCN,0.3,rand,4,12,linear,50,1.5327110290527344,6.589129686355591,GComvGRU,pedalme
32,STGCN,0.5,rand,4,12,linear,50,1.492561101913452,5.592846632003784,GComvGRU,pedalme
33,STGCN,0.6,rand,4,12,linear,50,1.7952392101287842,5.337545394897461,GComvGRU,pedalme
34,STGCN,0.8,rand,4,12,linear,50,2.260359048843384,5.3649115562438965,GComvGRU,pedalme
35,IT-STGCN,0.0,,4,12,,50,1.2301112413406372,5.912549257278442,GComvGRU,pedalme
36,IT-STGCN,0.3,rand,4,12,linear,50,1.4735562801361084,5.766482353210449,GComvGRU,pedalme
37,IT-STGCN,0.5,rand,4,12,linear,50,1.4220335483551023,5.775677919387817,GComvGRU,pedalme
38,IT-STGCN,0.6,rand,4,12,linear,50,1.4393041133880615,5.775064706802368,GComvGRU,pedalme
39,IT-STGCN,0.8,rand,4,12,linear,50,1.6016647815704346,5.798328876495361,GComvGRU,pedalme
40,STGCN,0.0,,4,12,,50,1.2944340705871582,5.204829216003418,GComvGRU,pedalme
41,STGCN,0.3,rand,4,12,linear,50,1.930371642112732,5.209028482437134,GComvGRU,pedalme
42,STGCN,0.5,rand,4,12,linear,50,1.3306732177734375,5.210792303085327,GComvGRU,pedalme
43,STGCN,0.6,rand,4,12,linear,50,1.6394784450531006,5.211601257324219,GComvGRU,pedalme
44,STGCN,0.8,rand,4,12,linear,50,1.720542311668396,5.268521547317505,GComvGRU,pedalme
45,IT-STGCN,0.0,,4,12,,50,1.3357034921646118,5.8140623569488525,GComvGRU,pedalme
46,IT-STGCN,0.3,rand,4,12,linear,50,1.7591540813446045,10.454701900482178,GComvGRU,pedalme
47,IT-STGCN,0.5,rand,4,12,linear,50,1.4019056558609009,14.061225652694702,GComvGRU,pedalme
